"","Cancer","DIC","PD","D-Bar","model"
"100","BrCa",55027.9516716717,46.1216716716717,54981.83,"Spatial"
"129","BrCa",54962.7260860861,58.8860860860861,54903.84,"Spatial Temporal"
"164","BrCa",55061.6347547548,85.9547547547548,54975.68,"Spatial Univ"
"98","BrCa",54949.9242042042,70.6542042042042,54879.27,"Spatial Temporal Univ"
"135","BrCa",54957.7431431431,54.3931431431434,54903.35,"Spatial Temporal Change Point"
"1371","BrCa",54955.1764964965,51.6964964964965,54903.48,"Spatial Temporal 2 Change Points"
"101","LBCa",224700,0,224700,"Spatial"
"130","LBCa",225036.61971972,524.71971971972,224511.9,"Spatial Temporal"
"165","LbCa",224710.18998999,9.98998998998999,224700.2,"Spatial Univ"
"99","LBCa",225743.383183183,1203.18318318318,224540.2,"Spatial Temporal Univ"
"136","LbCa",224667.784384384,164.384384384384,224503.4,"Spatial Temporal Change Point"
"138","LBCa",224867.73993994,359.93993993994,224507.8,"Spatial Temporal 2 Change Points"
"102","Total",279727.951671672,46.1216716716717,279681.83,"Spatial"
"131","Total",279999.345805806,583.605805805806,279415.74,"Spatial Temporal"
"166","Total",279771.824744745,95.9447447447448,279675.88,"Spatial Univ"
"1001","Total",280693.307387387,1273.83738738739,279419.47,"Spatial Temporal Univ"
"137","Total",279625.527527528,218.777527527527,279406.75,"Spatial Temporal Change Point"
"139","Total",279822.916436436,411.636436436436,279411.28,"Spatial Temporal 2 Change Points"
