"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"deviance",189099.8,4.46989708829856,189100,189100,189100,189100,189100,1,1
"sigma1",1.205356,0.0164514410892759,1.173,1.194,1.205,1.21524992287653,1.24,1.0101924245205,150
"sigma2",1.790156,0.0170066130928204,1.757,1.77874994728457,1.79,1.801,1.824,1.00000065934729,1000
"sigma3",1.156344,0.018655446649429,1.123,1.143,1.156,1.169,1.195,1.00883005721967,170
"u[1]",0.0767566554,0.06883259249629,-0.0555195,0.028835,0.07692,0.1266,0.2075025,1.00174032641156,860
"u[2]",0.0218703952,0.126074802843703,-0.22442,-0.06699,0.021005,0.107,0.27871,1.01137453626639,130
"u[3]",0.0119623442,0.0818551697997478,-0.1416,-0.0425225,0.012485,0.06674,0.168765,1.00784603747558,190
"u[4]",-0.10141835231,0.14397965131073,-0.37376,-0.20325,-0.093005,-0.00101935,0.1773075,1.0016159146352,930
"u[5]",0.00490876122,0.156708994645514,-0.3110975,-0.1007,0.0094335,0.112875,0.295,1.00483417721787,740
"u[6]",-0.130401117,0.13148192175515,-0.4069,-0.2113,-0.12755,-0.0397,0.104115,1.0148122944587,110
"u[7]",-0.1563238946,0.130868174536751,-0.41294,-0.2377,-0.158,-0.0727325,0.095126,0.999997381967835,1000
"u[8]",-0.1679274382,0.104703544192832,-0.366255,-0.23855,-0.1723,-0.0956175,0.0423572499999999,1.0025754227661,1000
"u[9]",0.06870880736,0.115195247138609,-0.1537225,-0.00874375,0.06431,0.1388,0.3231,1.00095016837852,1000
"u[10]",0.1146476522,0.0695150865756136,-0.02763175,0.06886,0.11115,0.16315,0.24674,1.01128900656782,130
"u[11]",-0.11921478498,0.0947536032045501,-0.3086,-0.1867,-0.12165,-0.05448,0.0571017499999999,1.00061241522578,1000
"u[12]",0.1302517688,0.148511988701991,-0.1566,0.030635,0.129,0.233075,0.4225,1.00487602431166,380
"u[13]",0.02566898663,0.130579174128131,-0.233065,-0.059465,0.03492,0.1085,0.2825125,1.0018774172599,800
"u[14]",0.059015452,0.10268058844121,-0.1485,-0.012235,0.06736,0.1233,0.25437,1.00048845991053,1000
"u[15]",0.0517111654,0.111570787216708,-0.1669125,-0.02043,0.056065,0.124325,0.2668,1.00259601008241,580
"u[16]",-0.1284238241,0.11910891190342,-0.3720375,-0.2067,-0.13,-0.046305,0.0971,1.01409275819551,110
"u[17]",-0.00498983076,0.0975078213962206,-0.203405,-0.0744725,0.00012095,0.05882,0.1772225,1.0018812589148,1000
"u[18]",0.1285211905,0.125250618517019,-0.1028025,0.04223,0.1244,0.2132,0.38775,1.00253073019691,590
"u[19]",-0.21436573975,0.111052151200824,-0.443425,-0.294775,-0.2112,-0.135125,-0.00944105000000005,1.0021305356881,700
"u[20]",-0.00769545636,0.0800258804391841,-0.163215,-0.05993,-0.01152,0.04607,0.14453,1.00776168638293,190
"u[21]",-0.07163225011,0.123370382412006,-0.31583,-0.156525,-0.071705,0.01329,0.1578575,1.0000239520517,1000
"u[22]",-0.0131744498,0.132015197512124,-0.2762,-0.104725,-0.0064035,0.0827625,0.241005,1.00665027376393,500
"u[23]",0.135301324,0.0971902307477864,-0.03736575,0.0678,0.13245,0.200975,0.3341725,1.00042467019974,1000
"u[24]",0.1318187604,0.124252919223045,-0.1154475,0.05748,0.1329,0.2087,0.3787975,1.00385294286727,470
"u[25]",-0.0183690847,0.124878999294821,-0.2489775,-0.104125,-0.01463,0.06425,0.2221725,1.00237973788041,630
"u[26]",0.1986497885,0.114760580011723,-0.02246225,0.12435,0.19915,0.2669,0.4376375,1.01166471391947,160
"u[27]",0.02179841609,0.0710576818916597,-0.105335,-0.027035,0.01905,0.068,0.166815,1.00260710176473,580
"u[28]",-0.2786351275,0.0985732587772209,-0.47411,-0.3412,-0.2823,-0.215,-0.073058,1.00013516318969,1000
"u[29]",-0.2642966998,0.130601914286363,-0.510175,-0.3494,-0.2661,-0.1757,-0.00410052500000006,1.00231086273049,650
"u[30]",-0.186117614,0.114044633514701,-0.408705,-0.2627,-0.18065,-0.105225,0.0223384999999999,1.00004996742803,1000
"u[31]",-0.0168860588,0.140353405274733,-0.26563,-0.11625,-0.026475,0.079715,0.2636525,1.01136708167576,150
"u[32]",0.13263321171,0.129113318519608,-0.1223325,0.0493025,0.1231,0.213525,0.3879025,1.00098398464141,1000
"u[33]",0.102146241,0.112073912356718,-0.1207,0.0330125,0.097625,0.179875,0.326315,1.00053206041856,1000
"u[34]",0.155342413,0.0538909559001533,0.0485215,0.121425,0.1553,0.191925,0.26092,1.00645803909565,240
"u[35]",-0.07530546422,0.147326156254093,-0.3759,-0.17995,-0.07408,0.015905,0.2174225,1.00144653810011,1000
"u[36]",-0.0366430414,0.0991753734569643,-0.2220325,-0.10575,-0.042445,0.0377225,0.1597,1.0014137270255,1000
"u[37]",-0.0425550804,0.115543586559012,-0.2622125,-0.120875,-0.03962,0.03324,0.1787275,1.00002012823904,1000
"u[38]",-0.02426259913,0.0499756117798957,-0.12023,-0.0548575,-0.024135,0.0064145,0.07335025,1.01223106947381,130
"u[39]",0.190702368,0.0655585381009103,0.05705,0.1484,0.1919,0.2319,0.3215025,1.02550449175308,63
"u[40]",0.05994654245,0.1548440558138,-0.2489875,-0.039515,0.064265,0.166125,0.3416,1.0051157775341,300
"u[41]",0.19630765,0.0510451012864393,0.09156,0.1638,0.1956,0.2302,0.301224959625075,1.00529138001609,280
"u[42]",-0.01703273838,0.0848517845954193,-0.1802075,-0.07172,-0.01408,0.0389375,0.1428025,1.01141214157619,190
"u[43]",0.1391835061,0.110320993864529,-0.066525,0.0650625,0.1426,0.2155,0.3608125,1.00054738926319,1000
"u[44]",-0.3404657,0.0851950066768744,-0.5106075,-0.3941,-0.3402,-0.2797,-0.1732625,1.00034164782029,1000
"u[45]",-0.0210856412,0.123137789386009,-0.2546125,-0.1049,-0.02213,0.060395,0.22092,1.0066366862482,230
"u[46]",0.129427475,0.0875574163680863,-0.0477755,0.07409,0.1271,0.1828,0.3140025,1.00337276450668,450
"u[47]",-0.00675413714,0.134821723839248,-0.281395,-0.0872525,-0.007048,0.0749375,0.2672775,1.00340978814916,1000
