"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"deviance",279421.8,41.3093992508541,279400,279400,279400,279400,279500,1.0000321986636,1000
"sigma1",1.23621,0.0171095481131629,1.20397498987195,1.225,1.236,1.248,1.26902499040096,1.00012100907193,1000
"sigma2",1.388437,0.00689620102582492,1.375,1.384,1.388,1.393,1.402,1.00072411132862,1000
"u[1]",-0.0318085347437,0.0452125166953521,-0.1215375,-0.062525,-0.031165,-0.00222175,0.05378825,1.00840993837579,180
"u[2]",-0.0462436849,0.0772339776296054,-0.2089275,-0.09571,-0.04527,0.007486,0.100805,1.00848737655544,630
"u[3]",0.012335169216,0.0555293671249737,-0.09741875,-0.0229675,0.01048,0.0494975,0.122805,1.00310820710803,550
"u[4]",-0.0025321942,0.0761547015396147,-0.1465325,-0.0513375,-0.003956,0.04923,0.151125,1.00570305008442,260
"u[5]",-0.0610999703,0.0902743706149206,-0.2462625,-0.1216,-0.05178,-0.0002108,0.100375,1.00361954194137,420
"u[6]",0.03962250429,0.0777913755715703,-0.1089,-0.0120425,0.03754,0.0887775,0.1921325,1.01209642774527,1000
"u[7]",-0.0154396982,0.0736274412666644,-0.1567625,-0.07085,-0.01552,0.03765,0.12171,1.00404594687764,370
"u[8]",-0.0370851145,0.0736859269771006,-0.1830175,-0.08833,-0.03408,0.0177375,0.097573,1.0040277093488,1000
"u[9]",-0.0823873988,0.0701693262349843,-0.234905,-0.129725,-0.078235,-0.032675,0.0455245,1.00381395323852,390
"u[10]",-0.03164482575,0.044864023771457,-0.119905,-0.0604,-0.03281,-0.002463,0.055022,1.00830658774634,180
"u[11]",0.01350581114,0.0621104160678643,-0.111615,-0.0266525,0.01432,0.0534125,0.1380025,1.00147319561715,1000
"u[12]",-0.01813199664,0.0862982533295292,-0.1973175,-0.068245,-0.009375,0.0363875,0.14433,1.00004384054679,1000
"u[13]",0.0734179366,0.0807672716268947,-0.05986875,0.014485,0.06751,0.12145,0.2444375,1.0025827897121,1000
"u[14]",0.0697250634,0.0647732478141892,-0.06169275,0.02614,0.068505,0.114275,0.19693,1.01283476999276,120
"u[15]",0.0924936256,0.0767740277166943,-0.04589375,0.0368525,0.09096,0.144325,0.2450225,1.01184541013984,130
"u[16]",-0.0315248306,0.0728362925612806,-0.174,-0.07982,-0.02951,0.01919,0.10594,1.00062164768435,1000
"u[17]",-0.08712505771,0.0694084354096805,-0.2465025,-0.1315,-0.080595,-0.03869,0.02903,1.0208050695349,190
"u[18]",-0.0051482181,0.0742653309176185,-0.1413,-0.0552475,-0.003805,0.045045,0.1345,1.00001236721462,1000
"u[19]",-0.0410882488,0.0704776445100862,-0.17471,-0.091305,-0.04152,0.007173,0.09755,1.00098520789163,1000
"u[20]",-0.0223494429,0.053150293235822,-0.1234075,-0.05826,-0.0215,0.01352,0.07995425,1.00243815621181,890
"u[21]",-0.0557220823,0.0773041341040001,-0.210925,-0.10445,-0.05512,-0.00156375,0.086973,1.00024246742226,1000
"u[22]",0.01494319,0.0763555042480413,-0.1310125,-0.0373975,0.01593,0.0599125,0.1763275,1.0010873884803,1000
"u[23]",0.1034152386,0.0650312195132079,-0.0183,0.0575925,0.1037,0.144875,0.2434125,1.00166843910639,900
"u[24]",0.0202947247,0.0787626889835785,-0.12862,-0.0336325,0.02146,0.0711575,0.1855,1.00128838240297,1000
"u[25]",0.06342635098,0.0816117203520337,-0.0805415,0.00758925,0.06149,0.1091,0.23221,1.00103810086713,1000
"u[26]",-0.0061044134,0.0689786036853805,-0.148835,-0.0487275,-0.005598,0.038065,0.13102,1.00103806194732,1000
"u[27]",-0.0358602781,0.0491859581593349,-0.1352,-0.0687775,-0.03663,-0.0004707,0.05653275,1.00006541642313,1000
"u[28]",-0.0384772227,0.0638979003817821,-0.1713025,-0.08089,-0.037485,0.0035675,0.0797965,1.00098770682847,1000
"u[29]",-0.0825808039,0.0817623304629784,-0.2589225,-0.1321,-0.07953,-0.0271225,0.061861,1.00743842521518,300
"u[30]",0.001333431175,0.0677206277252595,-0.12964,-0.04297,-0.002087,0.04685,0.1337175,1.00314844147064,1000
"u[31]",0.0026787083,0.0794920125801171,-0.1532275,-0.05236,0.0036705,0.055205,0.1606325,1.00019388912056,1000
"u[32]",-0.0395709942638,0.074651333844581,-0.1894,-0.0876825,-0.03863,0.0095725,0.103215,1.00083123101866,1000
"u[33]",0.00353963178,0.0727272129847442,-0.132665,-0.0447825,-0.0005393,0.0485375,0.1490175,1.00170586963349,1000
"u[34]",0.05297411581,0.0411086965678849,-0.02971125,0.02794,0.05149,0.079105,0.1357075,1.0001251920002,1000
"u[35]",0.0225415082,0.0789652709389948,-0.1307,-0.0260375,0.02137,0.07315,0.1781525,1.00187758587661,800
"u[36]",0.00544844031,0.0667735776447313,-0.1233025,-0.0413075,0.005698,0.0455825,0.136955,1.00135901553715,1000
"u[37]",0.01709449284,0.0694870926508984,-0.112925,-0.0292525,0.014665,0.0626125,0.155805,1.00069467087881,1000
"u[38]",0.069911437,0.0352545490181512,0.002853525,0.0463,0.06972,0.0924175,0.138115,1.00175217977546,860
"u[39]",0.0705799128,0.044043039415543,-0.012781,0.0405025,0.070585,0.09777,0.1637475,1.00037658597677,1000
"u[40]",0.0150514546,0.0840214856433335,-0.162535,-0.036455,0.01282,0.06856,0.1865,1.00721468240589,1000
"u[41]",0.0950285564,0.0378861321094935,0.020867,0.0705475,0.09404,0.1192,0.173715,1.00361235035258,420
"u[42]",-0.0213322319,0.0543806984997033,-0.1278075,-0.05865,-0.022805,0.0146575,0.0837255,1.00921715825634,430
"u[43]",0.0532202922,0.0697421696499227,-0.079476,0.00510325,0.0532,0.104425,0.184,1.00326035720545,1000
"u[44]",-0.0509318117,0.0532432755282811,-0.1581025,-0.08627,-0.0495,-0.01415,0.04832825,1.00019813527638,1000
"u[45]",0.0005395121,0.0766097211770187,-0.15479,-0.0475625,0.0003474,0.04797,0.1659425,1.0012251978702,1000
"u[46]",0.0543988437,0.052110529381662,-0.05294075,0.0221075,0.05547,0.0875675,0.161305,1.00006089591728,1000
"u[47]",0.0625384887,0.0787471084503178,-0.085208,0.01054,0.062045,0.114575,0.2241075,1.00144567636904,1000
"u[48]",-0.0357217125,0.0499002450910015,-0.1305,-0.069635,-0.037225,-0.00160975,0.06162975,1.00353552641061,1000
"u[49]",-0.051561447236,0.0690513278905864,-0.1972125,-0.0945,-0.04849,-0.004403,0.0752045,1.00134603191944,1000
"u[50]",0.0010720501,0.0835587687096459,-0.1633325,-0.05727,0.005644,0.0582125,0.1572075,1.00001575350158,1000
"u[51]",-0.0041895597,0.0751256776720708,-0.159715,-0.04581,-0.0025665,0.042145,0.13673,1.00837254356841,200
"u[52]",0.05589931291,0.0644965289568805,-0.074329,0.016535,0.05372,0.0969775,0.188425,1.00182568867836,1000
"u[53]",-0.153357044,0.0598240811509514,-0.277035,-0.1935,-0.15,-0.11305,-0.04363975,1.00856220618315,180
"u[54]",-0.03796130069,0.0778100639308592,-0.1970075,-0.08172,-0.03107,0.01361,0.1053175,1.00048242544193,1000
"u[55]",0.0122676295,0.0790562195406564,-0.1324625,-0.046595,0.01435,0.0668575,0.168515,0.999997545944769,1000
"u[56]",-0.0153714744,0.0558826069481697,-0.1229475,-0.0529,-0.016585,0.02186,0.09595325,1.00709886799133,1000
"u[57]",0.02363803202,0.0761630751069896,-0.12478,-0.0248175,0.02317,0.073,0.16972,1.00464666481805,1000
"u[58]",0.0032905896,0.081676747175315,-0.16065,-0.047705,0.003347,0.0577225,0.16905,1.00309111306801,490
"u[59]",0.1218978,0.0381859691247714,0.0444682947795501,0.0976824783947425,0.122349989783408,0.146324993594488,0.197214977795479,1.00053788553505,1000
"u[60]",0.0474035545,0.0591392036973952,-0.07167,0.0053325,0.04893,0.0876075,0.166205,1.00171571112396,870
"u[61]",-0.1297713442,0.0672727001541314,-0.2639,-0.172725,-0.1275,-0.0803825,-0.00370525000000002,1.0115338834944,390
"u[62]",0.040475886,0.0634630051672041,-0.08351425,-0.001027,0.037435,0.08146,0.173705,1.00448973705224,340
"u[63]",-0.07268286492,0.0713969646041266,-0.2262625,-0.1161,-0.07097,-0.0235675,0.0528817499999999,1.01161783571302,160
"u[64]",0.027359539,0.0735220706121168,-0.113505,-0.0224925,0.02375,0.07639,0.1659475,1.03082164398478,60
"sdu",0.08767939,0.017558916551951,0.0566579986220865,0.0757899920806013,0.0862549986957278,0.09881,0.124814964954625,1.01748611939998,90
"gamA1[2]",1.0842009,0.0818476969418486,0.940554957965853,1.024,1.079,1.13724991758845,1.254,1.0619334537615,30
"gamA1[3]",0.9996435,0.084979979728785,0.8309,0.940599984050471,1.00249987531171,1.0562499112706,1.17102498959808,1.08301224016124,23
"gamA1[4]",1.0345712,0.0864515364740195,0.860864972223133,0.978474999041844,1.03749987951807,1.09224991419418,1.197,1.0984844254208,21
"gamA1[5]",1.1439396,0.0868438872494351,0.974589757203681,1.08774991378649,1.144,1.203,1.30904996279525,1.08499931123685,25
"gamA1[6]",1.2296737,0.10495955633851,1.00994995166966,1.15874991907057,1.229,1.299,1.43009986388695,1.05850640120065,38
"gamA1[7]",1.373375,0.107053467107889,1.1808998345166,1.294,1.37249990892532,1.448,1.58304996922963,1.0580133779745,34
"gamA1[8]",1.387592,0.115728547181033,1.177,1.312,1.3774999092559,1.45724993568121,1.634,1.02571342402342,76
"gamA1[9]",1.380486,0.144044029680117,1.1579749894694,1.282,1.358,1.461,1.72049718720845,1.03981454656009,1000
"gamA1[10]",1.424528,0.145384834030121,1.21397498995543,1.326,1.4,1.494,1.82027419294172,1.05786395913621,1000
"gamA1[11]",1.506485,0.123848012116082,1.315,1.423,1.488,1.57524994049823,1.807,1.04342526756749,120
"gamA1[12]",1.618201,0.11239896853231,1.412,1.538,1.61349992252866,1.698,1.85407494090033,1.07529030593815,28
