,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
deviance,188785.7,35.02480174,188700,188800,188800,188800,188800,1.000596812,1000
sigma1,1.236846,0.017576838,1.204,1.224,1.237,1.249,1.27102499,1.000576725,1000
sigma2,1.806896,0.01771409,1.773,1.794,1.807,1.819,1.841024993,1.001780362,840
sigma3,1.207155,0.020020584,1.168,1.194,1.207,1.220249923,1.24602499,1.00147627,1000
u[1],0.068021928,0.067202072,-0.0692295,0.0244225,0.07114,0.1153,0.2004425,1.002137446,700
u[2],0.027787594,0.12629328,-0.216815,-0.0563,0.02254,0.111325,0.28559,1.001774688,850
u[3],0.015502617,0.080037526,-0.1456025,-0.0377475,0.015445,0.0663025,0.16711,1.00049758,1000
u[4],-0.091031449,0.149310887,-0.389215,-0.186525,-0.08991,0.0057195,0.1891525,1.001216568,1000
u[5],0.014345367,0.158297182,-0.292235,-0.0939375,0.02374,0.1254,0.31206,1.011789178,200
u[6],-0.127380883,0.132309613,-0.39307,-0.208,-0.12635,-0.0473,0.12942,1.00817723,750
u[7],-0.167794487,0.133179197,-0.42692,-0.2583,-0.1707,-0.0771775,0.0875865,1.004581618,1000
u[8],-0.166403776,0.110599508,-0.3967475,-0.2398,-0.161,-0.092245,0.0429045,1.000426343,1000
u[9],0.066961054,0.117032828,-0.1620025,-0.00901225,0.06711,0.1451,0.287385,1.000918601,1000
u[10],0.107428189,0.070915295,-0.023776,0.057855,0.105,0.158175,0.2446075,1.004736881,320
u[11],-0.133424515,0.096845503,-0.3196875,-0.19895,-0.1282,-0.0691125,0.04808075,1.000155937,1000
u[12],0.131848276,0.153909507,-0.16103,0.02622,0.1256,0.2267,0.463195,1.000083161,1000
u[13],0.03325158,0.128911996,-0.212655,-0.06335,0.03743,0.1245,0.2844,1.001145693,1000
u[14],0.111326876,0.111635899,-0.11717,0.03697,0.1122,0.182925,0.3398425,0.999999778,1000
u[15],0.032617838,0.11420872,-0.1875,-0.0466725,0.02764,0.108525,0.25573,1.002135877,1000
u[16],-0.116038489,0.125014051,-0.366,-0.20425,-0.1092,-0.027975,0.11443,1.001476922,1000
u[17],-0.010572088,0.106382346,-0.2215,-0.0853825,-0.013055,0.0647975,0.2017575,1.014323137,110
u[18],0.139250599,0.130353657,-0.1233125,0.05397,0.12885,0.22525,0.40012,1.001387536,1000
u[19],-0.230147685,0.112204214,-0.42922,-0.304075,-0.2326,-0.160775,0.00400095,1.011383604,340
u[20],-0.017690171,0.081889428,-0.1823,-0.072165,-0.01693,0.0394825,0.1338125,1.001162067,1000
u[21],-0.078834945,0.121030061,-0.3146225,-0.16085,-0.081315,0.009302,0.1591,1.001656688,1000
u[22],-0.009861654,0.143086187,-0.2827025,-0.1151,-0.016035,0.0924525,0.2581175,1.000142359,1000
u[23],0.152606788,0.100131742,-0.046585,0.08573,0.1519,0.2209,0.3545,1.008981343,180
u[24],0.128975685,0.136851662,-0.1304475,0.0345525,0.1312,0.22525,0.4034675,1.001896481,790
u[25],-0.008451052,0.127698727,-0.2483,-0.089865,-0.0015475,0.0755,0.2364125,1.006293825,240
u[26],0.217563291,0.121180418,-0.02676,0.137,0.2146,0.2879,0.4794525,1.002158587,700
u[27],0.019140159,0.07972513,-0.1362075,-0.033115,0.02018,0.072835,0.18406,1.005774316,260
u[28],-0.289519274,0.107768208,-0.49541,-0.36155,-0.2839,-0.2097,-0.0859605,1.005380578,1000
u[29],-0.239787245,0.141992093,-0.516,-0.343325,-0.24065,-0.142675,0.02750325,1.0171413,110
u[30],-0.202483833,0.123536343,-0.437605,-0.293925,-0.1989,-0.116975,0.03247775,1.006876845,290
u[31],-0.022840271,0.153502539,-0.3042,-0.131825,-0.02906,0.0763875,0.2750575,1.000605539,1000
u[32],0.123032369,0.12704208,-0.11488,0.0372,0.1187,0.2059,0.38057,1.001759327,1000
u[33],0.106415224,0.114162055,-0.104225,0.02311,0.1067,0.1833,0.3287975,1.006496558,230
u[34],0.163531697,0.058089571,0.049269,0.123025,0.1649,0.2036,0.2782075,1.003802621,400
u[35],-0.077398108,0.15399981,-0.3783375,-0.1865,-0.075145,0.02803,0.2153,1.001726507,1000
u[36],-0.032430527,0.098205934,-0.22706,-0.0981125,-0.031495,0.037205,0.1605125,1.003565927,750
u[37],-0.041532574,0.118409261,-0.2805875,-0.1234,-0.033655,0.03751,0.1886525,1.004306146,350
u[38],-0.023259679,0.050844628,-0.11133,-0.0591625,-0.026915,0.01076,0.08721125,1.000949226,1000
u[39],0.195399774,0.066821549,0.055976,0.1538,0.196,0.24,0.3215,1.004501167,1000
u[40],0.068548875,0.157927563,-0.2308325,-0.0409175,0.071785,0.1761,0.37153,1.000008151,1000
u[41],0.19745818,0.051908888,0.088855746,0.165374994,0.19584984,0.232299742,0.3003,1.029254304,310
u[42],-0.002851838,0.090682088,-0.177725,-0.0698075,-0.002493,0.0599125,0.1690425,1.003985655,1000
u[43],0.136545664,0.111672584,-0.06798125,0.0565925,0.1324,0.211225,0.3598025,1.004794912,310
u[44],-0.3741434,0.084995496,-0.53469,-0.4334,-0.3795,-0.316325,-0.2051775,1.000983644,1000
u[45],0.010070548,0.127611627,-0.2270875,-0.08485,0.016055,0.09598,0.25731,1.00931144,160
u[46],0.121649535,0.088063766,-0.04196075,0.05953,0.1236,0.181225,0.2885625,1.000647367,1000
u[47],-0.014997798,0.135507302,-0.275,-0.111475,-0.01805,0.079105,0.2441,1.007856991,190
u[48],-0.061455341,0.067857121,-0.196905,-0.109525,-0.05807,-0.01796,0.07089,1.000671651,1000
u[49],0.039587927,0.113961854,-0.18055,-0.0354725,0.03628,0.1131,0.2733325,1.006259772,290
u[50],-0.02187087,0.141182503,-0.2917,-0.1214,-0.01463,0.0737775,0.2524325,1.002046359,730
u[51],0.089823122,0.141158487,-0.2059,-0.0026335,0.090425,0.1815,0.371365,1.000924384,1000
u[52],0.030567334,0.097725907,-0.149565,-0.03459,0.025375,0.0948825,0.2235575,1.000022689,1000
u[53],-0.204054079,0.096976263,-0.3922,-0.2724,-0.2018,-0.139025,-0.003715275,1.002643536,570
u[54],0.081878342,0.147088925,-0.20033,-0.01354,0.075955,0.178275,0.385545,1.005355986,790
u[55],0.006922907,0.130161397,-0.2461,-0.07682,0.007679,0.09316,0.2583,1.003655259,410
u[56],-0.052712864,0.087948327,-0.2313675,-0.1114,-0.05054,0.0120925,0.1046175,1.002343113,640
u[57],0.087111329,0.134176556,-0.16997,0.004824,0.08104,0.169,0.3806725,1.004026078,1000
u[58],-0.030517095,0.146344033,-0.3357,-0.1195,-0.02648,0.067505,0.26006,1.00376066,910
u[59],0.118514287,0.052287092,0.016535,0.0859225,0.11855,0.154325,0.2214,1.001978763,1000
u[60],0.244275307,0.101240625,0.0556405,0.17655,0.245,0.304825,0.459825,1.0041092,380
u[61],-0.252283175,0.100304656,-0.44196,-0.320975,-0.2478,-0.185975,-0.06424575,1.000003418,1000
u[62],0.104310419,0.110692024,-0.109795,0.0308975,0.10305,0.181525,0.3119075,1.00176961,850
u[63],-0.082939774,0.113269716,-0.30144,-0.1591,-0.08282,-0.0034925,0.148355,1.000085723,1000
u[64],0.102685893,0.133826301,-0.153975,0.01562,0.09311,0.1903,0.396375,1.010989089,160
sdu,0.1772768,0.025925467,0.132994996,0.1595,0.174349993,0.194124995,0.235804998,1.007351801,210
gamA1[2],1.0520456,0.072110116,0.9148,1.002749906,1.047,1.097,1.199,1.002029832,1000
gamA1[3],0.9871583,0.075204165,0.826092499,0.938724951,0.991449999,1.034,1.140074904,0.999997696,1000
gamA1[4],1.0186401,0.072958119,0.881559565,0.9717,1.018,1.071,1.153,1.00243396,620
gamA1[5],1.1176895,0.081419133,0.974884995,1.058,1.116,1.173,1.285024991,1.000032009,1000
gamA1[6],1.204093,0.095911854,1.033949953,1.139749918,1.202,1.267,1.398124783,1.001519156,990
gamA1[7],1.316664,0.100064609,1.124974989,1.251749925,1.318,1.385249932,1.517,1.005354833,1000
gamA1[8],1.31452,0.094690051,1.123,1.255,1.314,1.382,1.487074926,1.000066312,1000
gamA1[9],1.2738196,0.094003294,1.0939249,1.21,1.269,1.34324993,1.44712479,1.000046226,1000
gamA1[10],1.2841,0.093525497,1.102,1.223,1.285,1.34324993,1.469,1.004550204,480
gamA1[11],1.290946,0.106934916,1.088,1.224749923,1.29,1.358,1.506,1.13425132,16
gamA1[12],1.3409633,0.131747942,1.102,1.255,1.331499906,1.418249934,1.635,1.19539856,12
gamA1[13],1.391489,0.152606391,1.123,1.283499708,1.393,1.484249937,1.712024993,1.189430299,12
gamA1[14],1.314625,0.161095958,1.014974988,1.204,1.31499962,1.428249934,1.654074934,1.127539185,17
gamA2[2],0.9156051,0.089605719,0.717594999,0.86002499,0.9276,0.976849996,1.066,1.005356351,990
gamA2[3],0.9451831,0.094545168,0.7408,0.88482499,0.950499916,1.012249907,1.12,1.001921945,1000
gamA2[4],1.0320959,0.095236671,0.823027375,0.972699985,1.036,1.098,1.20402499,1.001997203,1000
gamA2[5],1.1949974,0.092618248,1.011,1.133749917,1.199,1.256,1.375224285,1.00989128,150
gamA2[6],1.2782177,0.104520629,1.083,1.205749922,1.28,1.353,1.466,1.019884591,120
gamA2[7],1.229407,0.096237042,1.042924895,1.163749919,1.235,1.298249928,1.414,1.008038581,200
gamA2[8],1.2787184,0.096337077,1.101,1.213749923,1.277499902,1.345,1.464,1.022636956,82
gamA2[9],1.2388717,0.096829231,1.047799252,1.179,1.235,1.303,1.436,1.012092008,130
gamA2[10],1.2597861,0.10291919,1.071949954,1.187,1.258,1.334,1.456024992,1.024881481,76
gamA2[11],1.2558634,0.123662092,1.012874698,1.16574992,1.261,1.341,1.481099869,1.152855606,15
gamA2[12],1.2579938,0.147530491,0.9729,1.156,1.26,1.366249931,1.52832366,1.187015159,13
gamA2[13],1.2468295,0.156907422,0.954044938,1.132,1.252998404,1.366249931,1.537024992,1.17845854,13
gamA2[14],1.3204201,0.175374536,1.002974988,1.188,1.32,1.434,1.677,1.248220709,10
gamA3[2],1.0501452,0.087763579,0.8929,0.987299985,1.047499881,1.11,1.22604996,1.081861611,24
gamA3[3],1.0277988,0.095366124,0.852359963,0.9571,1.030499879,1.093,1.21709984,1.083771666,24
gamA3[4],1.33635,0.097575235,1.158,1.269,1.335,1.4,1.537099873,1.154364371,14
gamA3[5],1.516217,0.099627032,1.313974991,1.453749935,1.516,1.581,1.714074936,1.162861179,14
gamA3[6],1.530919,0.109311534,1.309924916,1.458,1.524499918,1.599,1.764,1.148596594,15
gamA3[7],1.634126,0.103837577,1.433949966,1.563,1.632499923,1.703,1.843,1.137354207,16
gamA3[8],1.785405,0.11131361,1.570949969,1.711,1.783,1.862,2.012024994,1.071116202,28
gamA3[9],1.640708,0.112133459,1.425924923,1.564,1.645,1.716,1.861,1.102909085,20
gamA3[10],1.701254,0.125432822,1.454749159,1.616749942,1.704,1.786249948,1.956024994,1.072621161,26
gamA3[11],1.749799,0.143262077,1.465874792,1.654,1.758,1.849499797,2.020074946,1.1082621,20
gamA3[12],1.850946,0.176345635,1.436974992,1.751,1.866499933,1.967,2.148124858,1.27193668,11
gamA3[13],1.8362019,0.19604262,1.39772394,1.723,1.854499933,1.963,2.17209991,1.255538193,12
gamA3[14],1.8493163,0.231347565,1.367597702,1.692749945,1.87,2.011,2.272,1.189962442,14
sdgamA1,0.10641043,0.042535452,0.042600711,0.07632749,0.099484979,0.1284,0.209067078,1.028350246,92
sdgamA2,0.11401921,0.043511502,0.04702925,0.082329984,0.108,0.141149973,0.218617473,1.023068591,140
sdgamA3,0.1801545,0.053460183,0.100297499,0.142049974,0.1712,0.211824996,0.298859766,1.000179899,1000
beta1[1],2.836382,0.112045689,2.605,2.763749966,2.838499956,2.915249968,3.046,1.008839122,200
beta1[2],-0.2580457,0.025625056,-0.3102125,-0.27475,-0.2577,-0.2402,-0.2073,1.001759039,850
beta1[3],-0.6327993,0.050397706,-0.7347125,-0.66485,-0.6308,-0.5993,-0.53921,1.004251951,1000
beta1[4],-0.9775719,0.05500899,-1.085025,-1.014,-0.9758,-0.940275,-0.871,1.010394066,160
beta1[5],-0.23405063,0.067008419,-0.3562175,-0.282125,-0.2363,-0.1871,-0.101895,1.001118761,1000
beta1[6],3.407543,0.07434064,3.277,3.357749972,3.404,3.454,3.561199781,1.011650364,1000
beta1[7],2.120922,0.247028271,1.63894997,1.950749952,2.123,2.277499835,2.599,1.005554523,1000
beta1[8],0.5755845,0.064527092,0.452487493,0.529924984,0.575849998,0.619524998,0.698539955,1.011270143,190
beta1[9],0.24735043,0.067850566,0.111689983,0.201874995,0.246049954,0.2929,0.378714988,1.04719883,100
beta1[10],0.48057335,0.131890065,0.231142938,0.392999962,0.4837,0.574449993,0.7418,1.018104227,200
beta1[11],-0.6530149,0.073307215,-0.7990575,-0.6978,-0.65335,-0.60335,-0.508905,1.002065613,730
beta1[12],-1.0610805,0.156506583,-1.3321,-1.169,-1.0655,-0.96185,-0.7231925,1.000062075,1000
beta1[13],-0.994703,0.057983856,-1.101075,-1.036,-0.9969,-0.9505,-0.88479,1.001254127,1000
beta1[14],-0.166999679,0.06329343,-0.29004,-0.2123,-0.16895,-0.124975,-0.04720475,1.027795841,90
beta1[15],0.17389587,0.046401527,0.08439,0.1415,0.172149412,0.207249982,0.264014983,1.0027595,1000
beta1[16],-0.621041545,0.356381546,-1.296,-0.855375,-0.633,-0.3826,0.08003775,1.000069633,1000
beta2[1],0.4556465,0.119208519,0.198557322,0.383549912,0.452199989,0.539624957,0.679354913,1.031786718,52
beta2[2],-0.559906,0.026009245,-0.6102,-0.5778,-0.5585,-0.54215,-0.5102875,1.010858987,150
beta2[3],0.3973168,0.051512893,0.3072,0.3603,0.3917,0.432624946,0.5047,1.040680149,43
beta2[4],-1.296541,0.058168582,-1.412,-1.334,-1.297,-1.256,-1.181,1.013799838,110
beta2[5],0.5535705,0.065721598,0.427964944,0.5077,0.553049889,0.6001,0.684227478,1.002865398,1000
beta2[6],3.583679,0.067816362,3.45,3.54,3.58,3.632249974,3.726024997,1.011784684,130
beta2[7],1.2636498,0.274807821,0.704874983,1.087,1.263,1.436,1.809694771,1.002208937,730
beta2[8],0.8170892,0.070686847,0.6718,0.76822494,0.819149962,0.867324973,0.946017494,1.070365479,33
beta2[9],0.3960937,0.078520422,0.2403,0.343524866,0.395449997,0.4553,0.543939943,1.126375025,24
beta2[10],1.660673,0.134717389,1.414974991,1.57474994,1.664499925,1.743,1.950024994,1.017339411,97
beta2[11],0.183523941,0.073092227,0.0390275,0.1346,0.18505,0.2326,0.3220725,1.004243358,350
beta2[12],0.152426744,0.447722356,-0.670785,-0.1588,0.10545,0.430375,1.0456,1.000849197,1000
beta2[13],-0.2762197,0.04964365,-0.373425,-0.30975,-0.27655,-0.242575,-0.1755,1.020422507,78
beta2[14],0.7248026,0.053413625,0.627479988,0.688274966,0.723249998,0.758324999,0.836319991,1.000210896,1000
beta3[1],6.019177,0.098456027,5.857,5.946749984,6.012499979,6.088,6.216049992,1.197525489,12
beta3[2],-0.4446842,0.028086533,-0.5017025,-0.4639,-0.44435,-0.423675,-0.3917775,1.000745424,1000
beta3[3],-0.409802,0.052914427,-0.5124025,-0.446625,-0.4096,-0.3726,-0.3103875,1.006688083,230
beta3[4],-1.821264,0.065801353,-1.954075,-1.859,-1.821,-1.78175,-1.69,1.029130027,60
beta3[5],-2.741189,0.087729321,-2.92315,-2.791,-2.739,-2.675,-2.571,1.001770488,860
beta3[6],1.606461,0.071358451,1.466,1.559,1.607,1.654249943,1.746024993,1.000119467,1000
beta3[7],0.335466012,0.294981051,-0.1905175,0.1262,0.3234,0.5434,0.9091525,1.000642678,1000
