"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"deviance",279411.3,31.6751213622507,279400,279400,279400,279400,279500,1.00001196841479,1000
"sigma1",1.236351,0.0172369054621156,1.20497498988036,1.224,1.236,1.248,1.27,1.00076002798954,1000
"sigma2",1.388211,0.0068149043956553,1.375,1.384,1.388,1.393,1.402,1.00345724910349,430
"u[1]",-0.03329512411,0.047423566873213,-0.1273175,-0.06672,-0.03323,-0.00032,0.0585345,1.02235811149634,72
"u[2]",-0.0548777336,0.0766689982579679,-0.2193475,-0.101025,-0.05504,-0.000735225,0.08640075,1.00123612922156,1000
"u[3]",0.0132319638,0.0551665809801616,-0.08770675,-0.023135,0.01324,0.05159,0.1224675,1.01309386450708,120
"u[4]",-0.0008695309,0.0780391422703982,-0.162435,-0.0488725,-0.00087835,0.0500425,0.1535625,1.00061531375729,1000
"u[5]",-0.0661753657,0.0913008529085247,-0.255875,-0.125325,-0.060955,-0.00429875,0.100635,1.00865756080137,470
"u[6]",0.0459574854,0.0806007523488771,-0.09799425,-0.0101375,0.04044,0.1006,0.2155375,0.999997035609955,1000
"u[7]",-0.0181038842,0.0791687479205827,-0.1839325,-0.06987,-0.01715,0.03777,0.13372,1.00196128309519,1000
"u[8]",-0.03692406856,0.0702621033087217,-0.1629325,-0.0841725,-0.038155,0.0111275,0.09655275,1.00124129004757,1000
"u[9]",-0.0832632041,0.075011502937592,-0.238425,-0.1311,-0.0821,-0.0297225,0.06355875,1.00043907183238,1000
"u[10]",-0.0318947604,0.0478158881634436,-0.1291,-0.0611075,-0.033905,0.001456,0.06428,1.00949470521006,180
"u[11]",0.02226523037,0.0672451278345025,-0.107215,-0.021625,0.01838,0.06563,0.162015,1.00939703834505,160
"u[12]",-0.0259960834,0.0861511875332444,-0.2008025,-0.0816725,-0.02343,0.0312525,0.134535,1.00292414248698,730
"u[13]",0.0809471762,0.0860587129570301,-0.07252525,0.01708,0.07391,0.13535,0.2635175,1.0044456245118,1000
