,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
deviance,189099.8,4.469897088,189100,189100,189100,189100,189100,1,1
sigma1,1.205356,0.016451441,1.173,1.194,1.205,1.215249923,1.24,1.010192425,150
sigma2,1.790156,0.017006613,1.757,1.778749947,1.79,1.801,1.824,1.000000659,1000
sigma3,1.156344,0.018655447,1.123,1.143,1.156,1.169,1.195,1.008830057,170
u[1],0.076756655,0.068832592,-0.0555195,0.028835,0.07692,0.1266,0.2075025,1.001740326,860
u[2],0.021870395,0.126074803,-0.22442,-0.06699,0.021005,0.107,0.27871,1.011374536,130
u[3],0.011962344,0.08185517,-0.1416,-0.0425225,0.012485,0.06674,0.168765,1.007846037,190
u[4],-0.101418352,0.143979651,-0.37376,-0.20325,-0.093005,-0.00101935,0.1773075,1.001615915,930
u[5],0.004908761,0.156708995,-0.3110975,-0.1007,0.0094335,0.112875,0.295,1.004834177,740
u[6],-0.130401117,0.131481922,-0.4069,-0.2113,-0.12755,-0.0397,0.104115,1.014812294,110
u[7],-0.156323895,0.130868175,-0.41294,-0.2377,-0.158,-0.0727325,0.095126,0.999997382,1000
u[8],-0.167927438,0.104703544,-0.366255,-0.23855,-0.1723,-0.0956175,0.04235725,1.002575423,1000
u[9],0.068708807,0.115195247,-0.1537225,-0.00874375,0.06431,0.1388,0.3231,1.000950168,1000
u[10],0.114647652,0.069515087,-0.02763175,0.06886,0.11115,0.16315,0.24674,1.011289007,130
u[11],-0.119214785,0.094753603,-0.3086,-0.1867,-0.12165,-0.05448,0.05710175,1.000612415,1000
u[12],0.130251769,0.148511989,-0.1566,0.030635,0.129,0.233075,0.4225,1.004876024,380
u[13],0.025668987,0.130579174,-0.233065,-0.059465,0.03492,0.1085,0.2825125,1.001877417,800
u[14],0.059015452,0.102680588,-0.1485,-0.012235,0.06736,0.1233,0.25437,1.00048846,1000
u[15],0.051711165,0.111570787,-0.1669125,-0.02043,0.056065,0.124325,0.2668,1.00259601,580
u[16],-0.128423824,0.119108912,-0.3720375,-0.2067,-0.13,-0.046305,0.0971,1.014092758,110
u[17],-0.004989831,0.097507821,-0.203405,-0.0744725,0.00012095,0.05882,0.1772225,1.001881259,1000
u[18],0.128521191,0.125250619,-0.1028025,0.04223,0.1244,0.2132,0.38775,1.00253073,590
u[19],-0.21436574,0.111052151,-0.443425,-0.294775,-0.2112,-0.135125,-0.00944105,1.002130536,700
u[20],-0.007695456,0.08002588,-0.163215,-0.05993,-0.01152,0.04607,0.14453,1.007761686,190
u[21],-0.07163225,0.123370382,-0.31583,-0.156525,-0.071705,0.01329,0.1578575,1.000023952,1000
u[22],-0.01317445,0.132015198,-0.2762,-0.104725,-0.0064035,0.0827625,0.241005,1.006650274,500
u[23],0.135301324,0.097190231,-0.03736575,0.0678,0.13245,0.200975,0.3341725,1.00042467,1000
u[24],0.13181876,0.124252919,-0.1154475,0.05748,0.1329,0.2087,0.3787975,1.003852943,470
u[25],-0.018369085,0.124878999,-0.2489775,-0.104125,-0.01463,0.06425,0.2221725,1.002379738,630
u[26],0.198649789,0.11476058,-0.02246225,0.12435,0.19915,0.2669,0.4376375,1.011664714,160
u[27],0.021798416,0.071057682,-0.105335,-0.027035,0.01905,0.068,0.166815,1.002607102,580
u[28],-0.278635128,0.098573259,-0.47411,-0.3412,-0.2823,-0.215,-0.073058,1.000135163,1000
u[29],-0.2642967,0.130601914,-0.510175,-0.3494,-0.2661,-0.1757,-0.004100525,1.002310863,650
u[30],-0.186117614,0.114044634,-0.408705,-0.2627,-0.18065,-0.105225,0.0223385,1.000049967,1000
u[31],-0.016886059,0.140353405,-0.26563,-0.11625,-0.026475,0.079715,0.2636525,1.011367082,150
u[32],0.132633212,0.129113319,-0.1223325,0.0493025,0.1231,0.213525,0.3879025,1.000983985,1000
u[33],0.102146241,0.112073912,-0.1207,0.0330125,0.097625,0.179875,0.326315,1.00053206,1000
u[34],0.155342413,0.053890956,0.0485215,0.121425,0.1553,0.191925,0.26092,1.006458039,240
