"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"deviance",279700,0,279700,279700,279700,279700,279700,1,1
"sigma1",1.205561,0.0166096405487644,1.173,1.194,1.206,1.217,1.239,1.00044073958529,1000
"sigma2",1.386383,0.00694482120299303,1.373,1.382,1.386,1.391,1.401,0.999999638846914,1000
"u[1]",-0.03413541665,0.0453741062781075,-0.12344,-0.0626475,-0.0324,-0.005399,0.052441,1.00261401107357,570
"u[2]",-0.0446509409,0.0723276002241555,-0.190495,-0.0910275,-0.03928,0.001476,0.0859394999999999,1.00371257168351,1000
"u[3]",0.0226659317,0.0521526774301239,-0.0763535,-0.0116125,0.02125,0.0595875,0.1258025,1.00388789792034,1000
"u[4]",-0.0027181672,0.0735093444220488,-0.14276,-0.04952,-0.004277,0.04302,0.149315,1.0018886773617,790
"u[5]",-0.0525469129,0.0810904521612486,-0.2197725,-0.10155,-0.04773,0.0023665,0.0915185,1.00509166984666,570
"u[6]",0.039036825,0.0757501521081026,-0.1007875,-0.011055,0.03585,0.0873775,0.1915125,1.00057737316265,1000
"u[7]",-0.0166283033,0.0720658659679639,-0.150975,-0.06312,-0.01777,0.03347,0.1254075,1.00000223613627,1000
"u[8]",-0.0268578893,0.0718495778951267,-0.1773075,-0.07422,-0.02659,0.02174,0.1130025,1.00112700346134,1000
"u[9]",-0.071541696875,0.065483655904956,-0.2044275,-0.11545,-0.06968,-0.0268675,0.04938125,1.00058205806008,1000
"u[10]",-0.02227230366,0.0451078874155866,-0.1071075,-0.0542775,-0.02074,0.009212,0.06321,1.00254629000757,590
"u[11]",0.02159148262,0.0614437740700861,-0.103345,-0.0204125,0.022105,0.06126,0.142705,1.00881344774025,370
"u[12]",-0.019717687124,0.0808402231049897,-0.18684,-0.069215,-0.02007,0.03245,0.1395175,1.00041015216381,1000
"u[13]",0.0665189029,0.0725638709475982,-0.07408,0.0177425,0.0598,0.114875,0.22492,1.00035567386613,1000
"u[14]",0.0315482705,0.0625273200635368,-0.08835025,-0.0132525,0.031335,0.0725225,0.153985,1.01174733496701,240
"u[15]",0.0890398806,0.0715830359080562,-0.04393,0.038505,0.08444,0.1381,0.2423125,1.00536634833038,320
"u[16]",-0.02762918408,0.0735336262939306,-0.1820475,-0.0816275,-0.025965,0.022785,0.1246425,1.00016906986355,1000
"u[17]",-0.0815824807,0.0643648060033032,-0.2096025,-0.124475,-0.08024,-0.034475,0.040551,1.00039924330984,1000
"u[18]",-0.00468051453,0.0684400549548916,-0.136915,-0.05054,-0.002065,0.04095,0.130715,1.00417955172254,1000
"u[19]",-0.0424979565,0.0656696672743237,-0.1655175,-0.08568,-0.04094,0.00255475,0.0836985,1.0001455204794,1000
"u[20]",-0.02314129768,0.0560455801285591,-0.144425,-0.059705,-0.023415,0.0156025,0.0799835,1.00156704980419,1000
"u[21]",-0.05047329459,0.0725291452304563,-0.1977975,-0.097225,-0.04593,0.000482325,0.0776915,1.00505765884902,300
"u[22]",0.0109724022,0.0723095694242046,-0.12863,-0.03799,0.01366,0.0553625,0.1584,1.00157818288322,1000
