"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"deviance",188795.1,21.5976030257169,188700,188800,188800,188800,188800,1.00096853526272,1000
"sigma1",1.238318,0.0171148413312479,1.207,1.226,1.238,1.25,1.271,1.00197761776156,760
"sigma2",1.806087,0.0176099273292237,1.772,1.794,1.805,1.82,1.84,1.00006874635581,1000
"sigma3",1.210515,0.0198043931739649,1.17197498959526,1.197,1.211,1.224,1.24804996097866,1.00264375533864,570
"u[1]",0.0650767274,0.0684199385368436,-0.067589,0.0188125,0.06694,0.1135,0.1932175,1.00126993889599,1000
"u[2]",0.0390472025,0.122591517429241,-0.1944675,-0.04705,0.03416,0.122025,0.2863575,1.009566931074,250
"u[3]",0.0160782718,0.0797099907029714,-0.133885,-0.037495,0.02048,0.065595,0.175915,1.00003233264258,1000
"u[4]",-0.09976654955,0.150593240221718,-0.4013775,-0.1927,-0.09947,-0.007054,0.2187075,1.00491342868374,1000
"u[5]",0.0035253809,0.153353039490317,-0.317115,-0.094065,0.008119,0.1075,0.28311,1.0037616522469,400
"u[6]",-0.124383976,0.136484275104219,-0.386705,-0.2218,-0.1244,-0.03611,0.1439275,1.00489650918527,340
"u[7]",-0.1518931094,0.14180295613563,-0.4301,-0.25675,-0.1466,-0.05166,0.11842,1.00553340582293,880
"u[8]",-0.181142019,0.108024727939843,-0.3986425,-0.25195,-0.18105,-0.1076,0.02862475,1.00838945471562,1000
"u[9]",0.0689471001,0.122391603109642,-0.1673025,-0.0175575,0.06818,0.152675,0.316235,1.0010035396439,1000
"u[10]",0.1072016862,0.0709862370162195,-0.035404,0.0560025,0.1073,0.152325,0.2429,1.00237726115488,630
"u[11]",-0.14018797835,0.102967656242559,-0.3365525,-0.210175,-0.13935,-0.071825,0.064742,1.00518996766332,290
"u[12]",0.1342338939,0.161159624485047,-0.162705,0.0196025,0.12395,0.243775,0.455805,1.00552383295793,270
"u[13]",0.0276960176,0.122400002261501,-0.2155,-0.0556675,0.03425,0.1121,0.25256,1.0020289229003,1000
"u[14]",0.108133926889,0.105969038437201,-0.08207975,0.0371325,0.10245,0.180725,0.32331,1.02367036795767,73
"u[15]",0.0284412153,0.11936575060631,-0.21107,-0.05668,0.02729,0.1076,0.251305,1.00079851872523,1000
"u[16]",-0.112211783,0.133563148073041,-0.37905,-0.2013,-0.1113,-0.0187075,0.14432,1.00461364862051,980
"u[17]",-0.0043522462,0.104391901065824,-0.19638,-0.0751125,-0.003786,0.059705,0.2051125,1.00143769954364,1000
"u[18]",0.1371385952,0.131325253918651,-0.1037225,0.0550075,0.1369,0.21745,0.410125,1.00404921863994,1000
"u[19]",-0.229525079,0.122322747427496,-0.4687025,-0.31065,-0.2251,-0.143375,-0.00788985000000004,1.01703738512997,110
"u[20]",-0.0226120959,0.0880347730996634,-0.1953,-0.082265,-0.026985,0.0386025,0.1518,1.00043599074126,1000
"u[21]",-0.0861903567,0.122117492050186,-0.31951,-0.162025,-0.08793,-0.00793375,0.1577425,1.00049363682031,1000
"u[22]",0.0023011358,0.143377497252372,-0.2897275,-0.08788,0.007216,0.101825,0.28,1.0052144977202,300
"u[23]",0.14890666927,0.100816427175115,-0.04436,0.07925,0.14605,0.2158,0.35374,1.00391393496625,490
"u[24]",0.1210083427,0.126068195130979,-0.126515,0.0389825,0.12195,0.212,0.3540175,1.00741192804664,200
"u[25]",0.0039732912,0.123762320258813,-0.2402175,-0.0787925,0.001148,0.084165,0.2534025,1.00048266359551,1000
"u[26]",0.2025574656,0.128244464165468,-0.03975725,0.1171,0.19735,0.2865,0.4459175,1.00245589179229,630
"u[27]",0.0224546929,0.0786984654426159,-0.1333175,-0.027,0.02351,0.0766,0.181255,1.00500784366282,300
"u[28]",-0.277971431,0.117419423016734,-0.514225,-0.3591,-0.2716,-0.19995,-0.056968,1.00170970139106,1000
"u[29]",-0.238392646,0.142728436887303,-0.5295,-0.328725,-0.2395,-0.14,0.0345457499999999,1.00042058311878,1000
"u[30]",-0.197090974,0.117027082774142,-0.4136125,-0.276725,-0.19745,-0.109475,0.0220165,1.00385622759171,1000
"u[31]",-0.0116229693,0.144493773623004,-0.3038,-0.106725,-0.010315,0.078205,0.2717075,1.01029050955337,150
"u[32]",0.129052548,0.128004446427297,-0.12595,0.04573,0.12635,0.207,0.4024575,1.00940933695174,380
"u[33]",0.10615181299,0.116971187947456,-0.1092125,0.025,0.098945,0.1882,0.3273,1.00100696629825,1000
"u[34]",0.158394848,0.0591217936094677,0.0427835,0.1196,0.1574,0.200025,0.2683775,1.00057432131726,1000
"u[35]",-0.0804748946,0.158262945359703,-0.38475,-0.178825,-0.087475,0.02235,0.2317825,1.001651098527,1000
"u[36]",-0.0378933216,0.099438483656627,-0.233145,-0.109,-0.0389,0.03424,0.14382,1.00940822460846,190
"u[37]",-0.0394302424,0.11341287579468,-0.2625,-0.11195,-0.037095,0.0359975,0.175355,1.00023056399413,1000
"u[38]",-0.0229428685,0.0511838925527495,-0.1254,-0.0580475,-0.02038,0.0123225,0.0729057499999999,1.00330888016144,450
"u[39]",0.19184317,0.0706867989439899,0.0530755,0.145525,0.1948,0.236,0.338705,1.00209453607312,1000
"u[40]",0.0463891559,0.148688329381129,-0.244545,-0.054355,0.04797,0.1447,0.3266,1.00983502877961,150
"u[41]",0.19741002,0.0582820987201974,0.0828122358233169,0.158449976323264,0.194449993571612,0.232124899103111,0.313349845049179,1.00902690494124,210
"u[42]",-0.00925374187,0.0899985287854942,-0.1854,-0.06783,-0.01123,0.047195,0.170835,1.00286489842371,1000
"u[43]",0.1391845543,0.107722983082942,-0.07724775,0.0643,0.13525,0.21275,0.350905,1.00283314742237,530
"u[44]",-0.3696665,0.0911162637582955,-0.5466175,-0.4323,-0.3615,-0.309875,-0.2003,1.00197829621923,760
"u[45]",0.00203228046,0.129794560358337,-0.2485,-0.0898125,-0.00078037,0.0909375,0.25885,1.00601410298044,1000
"u[46]",0.12021519737,0.0838286452622328,-0.04396575,0.0637225,0.121,0.1786,0.2794,1.00220976267007,1000
"u[47]",-0.0019925481,0.136704584022564,-0.25512,-0.09011,-0.005938,0.086515,0.273225,1.00182926800561,1000
"u[48]",-0.0638708738,0.0787256497690722,-0.2135425,-0.115225,-0.061695,-0.00962975,0.0822815,1.0018909134983,1000
"u[49]",0.0404890355,0.112038976856957,-0.1737125,-0.0383,0.0431,0.116,0.2629225,1.00109647914215,1000
"u[50]",-0.0243350273,0.13814203147091,-0.3061175,-0.1154,-0.023095,0.07502,0.25676,1.0071025554032,1000
"u[51]",0.0739354858,0.140511701118521,-0.1958325,-0.01718,0.06912,0.1661,0.354925,1.00086371966424,1000
"u[52]",0.0240929201,0.10364127426332,-0.1614775,-0.04256,0.02276,0.089635,0.2274575,1.00762964653499,200
"u[53]",-0.1993274992,0.0941674486438107,-0.37111,-0.2616,-0.2027,-0.1367,-0.0164987500000001,1.00815886177073,620
"u[54]",0.0852338535,0.144246016046555,-0.182075,-0.01941,0.09453,0.179525,0.360005,1.00266985910675,560
"u[55]",0.0098525228,0.133717443790728,-0.2423125,-0.07893,0.00616,0.1018,0.2678025,1.00449173717021,340
"u[56]",-0.0431996235,0.0854729724519516,-0.2145725,-0.0997675,-0.04361,0.01523,0.1363975,1.00087676523492,1000
"u[57]",0.0834370807,0.139499172078112,-0.1870325,-0.01035,0.08392,0.1711,0.35791,1.00790162120599,1000
"u[58]",-0.0300121736,0.138659823611579,-0.2927925,-0.1258,-0.037695,0.0701125,0.22773,1.00739560236797,1000
"u[59]",0.117260043,0.0536399940984526,0.014097,0.07918,0.11855,0.153075,0.22642,1.00003241482273,1000
"u[60]",0.24441397,0.102196777711284,0.0506555,0.175925,0.23905,0.31365,0.4518925,1.00961588205467,160
"u[61]",-0.248653793,0.101756372050063,-0.4478,-0.3147,-0.2483,-0.179575,-0.05488625,1.00059781521384,1000
"u[62]",0.1049950307,0.116180064613623,-0.10928,0.0307225,0.098,0.179075,0.35421,1.00102949512556,1000
"u[63]",-0.0873805933,0.126222063003757,-0.3339,-0.1722,-0.091305,-0.0014223,0.1601675,1.00791049900536,260
"u[64]",0.0952579502,0.13119812523295,-0.149345,0.005808,0.09428,0.182325,0.3430575,1.00287942787497,650
"sdu",0.1747756,0.0273166613008366,0.12788998472225,0.156,0.1723,0.1917,0.232302499475504,1.00478850051188,310
"gam1[2]",1.0779775,0.0778768604216884,0.931872484163167,1.022,1.077,1.134,1.23,1.04142655326818,41
"gam1[3]",0.9897225,0.0805876110006792,0.827154952195165,0.935099935817433,0.9931,1.04424991025129,1.131,1.03528178691151,56
"gam1[4]",1.0256136,0.0873446757817981,0.844754953192499,0.969974975832853,1.02649987822698,1.085,1.188,1.05644073609009,35
"gam1[5]",1.1351633,0.09010731719301,0.9434,1.074,1.139,1.20024992191296,1.29104996227704,1.02540368693327,81
"gam1[6]",1.219567,0.0988144882802825,1.01692489193611,1.15974991914037,1.224,1.284,1.419,1.04727667510254,53
"gam1[7]",1.35108,0.0983161516011772,1.155,1.286,1.35,1.4212499340524,1.54,1.03343788470303,93
"gam1[8]",1.339247,0.0970853725365493,1.13994995718739,1.272,1.344,1.41024993353813,1.51102499193766,1.03605503491878,57
"gam1[9]",1.300142,0.0989996604477448,1.10294995574953,1.23374992399162,1.303,1.37324993174786,1.48702499180759,1.04282905405523,44
