"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"deviance",279428.1,44.9712398362822,279400,279400,279400,279500,279500,1.01428335269329,130
"sigma1",1.235153,0.0178923370951569,1.19997498983817,1.223,1.235,1.248,1.268,1.02453158285783,1000
"sigma2",1.388594,0.00681994689683693,1.37597499113857,1.384,1.389,1.393,1.402,1.00018355297668,1000
"u[1]",-0.03446615838,0.0456798379333188,-0.12463,-0.0667475,-0.033325,-0.0009655,0.0510025,1.0009357097061,1000
"u[2]",-0.04314972486,0.0804521640828302,-0.2058,-0.102175,-0.04285,0.0139475,0.102105,1.00906358728531,1000
"u[3]",0.014001711436,0.0558716802002466,-0.0938475,-0.022205,0.01174,0.0511125,0.126155,1.00360234107082,1000
"u[4]",0.00502796066,0.0843988109495127,-0.175725,-0.05049,0.00479,0.0623975,0.161925,1.01011075885933,150
"u[5]",-0.06635205938,0.0903819328838872,-0.2430525,-0.124975,-0.06264,-0.00606775,0.1065075,1.00791997667224,680
"u[6]",0.0446682584,0.0778822049081481,-0.11412,-0.00852225,0.04864,0.09719,0.194855,1.00076202994987,1000
"u[7]",-0.016200836,0.0770074951242078,-0.1743025,-0.0672175,-0.01749,0.03502,0.1378,1.00718486808239,290
"u[8]",-0.0381650761,0.073328949480463,-0.1869,-0.0840575,-0.035855,0.00652675,0.10994,1.01511362931928,130
"u[9]",-0.0908807712,0.0739473500846637,-0.2481125,-0.1365,-0.088915,-0.04347,0.0496894999999999,1.00003272339246,1000
"u[10]",-0.0319979892,0.0465431853502232,-0.1187475,-0.06341,-0.03208,0.00127625,0.05316,1.00481036937297,310
"u[11]",0.01869212454,0.0654711454760806,-0.1002375,-0.0272025,0.01961,0.06338,0.145905,1.0074664184871,440
"u[12]",-0.01997645252,0.0881241458487878,-0.2112,-0.076045,-0.018775,0.0369025,0.1575225,1.0002803997569,1000
"u[13]",0.0861731871,0.086428627213963,-0.070644,0.0289375,0.082685,0.142925,0.266515,1.00778465703891,190
"u[14]",0.06886549956,0.0697573439382653,-0.059743,0.0208775,0.06642,0.110375,0.2123525,1.00919936560965,1000
"u[15]",0.09688783415,0.0752520015306245,-0.04386975,0.0483475,0.09395,0.141,0.2591,1.01180859272137,130
"u[16]",-0.0308992994,0.0770408871834516,-0.1866,-0.0821675,-0.027905,0.0222675,0.110705,1.0034605234492,1000
"u[17]",-0.0926628062,0.0667774023260496,-0.2213,-0.1346,-0.09005,-0.0469,0.0323265,1.00276897244891,790
"u[18]",-0.0013135947,0.076129985715246,-0.150605,-0.051715,-2.395e-05,0.0487125,0.1462,1.00088296088008,1000
"u[19]",-0.045577101,0.0702099680921747,-0.1896175,-0.0934075,-0.0473,0.00585575,0.0870175,1.00167075792391,1000
"u[20]",-0.0227079834,0.0559652900161289,-0.139725,-0.061375,-0.02074,0.016795,0.08222775,1.00155598989011,960
"u[21]",-0.05748425288,0.0748447873527832,-0.2082875,-0.1061,-0.05182,-0.006471,0.0837177499999999,1.00268750102402,1000
"u[22]",0.0096984959,0.080377060432826,-0.1445175,-0.0421525,0.0081415,0.06212,0.16673,1.00742207457126,200
"u[23]",0.106650967,0.0680249351558713,-0.0259,0.0592,0.10595,0.151125,0.237225,1.01813579184387,100
"u[24]",0.023969949524,0.0801146117161939,-0.1374875,-0.0266725,0.02559,0.074325,0.193035,1.00036926547155,1000
"u[25]",0.0696410384,0.0804753886235542,-0.076195,0.01426,0.064395,0.1211,0.24072,1.00449755477327,470
"u[26]",-0.01119818191,0.0741170434738008,-0.1573875,-0.0591375,-0.01129,0.04125,0.1374375,1.00736226899816,750
"u[27]",-0.0390763408,0.0485774873241994,-0.1372125,-0.070195,-0.038405,-0.010225,0.05325,1.0005286585058,1000
"u[28]",-0.0451855164281,0.070408515086355,-0.183015,-0.094265,-0.037495,0.00080195,0.090208,1.00058733267926,1000
"u[29]",-0.0935143449,0.0814329132473816,-0.25845,-0.147675,-0.09331,-0.03687,0.0577019999999999,1.00416187257568,360
"u[30]",-3.34617000000002e-05,0.0698653962549254,-0.1368075,-0.0441775,-0.0004575,0.03905,0.1377175,1.00130320101544,1000
"u[31]",0.00762008146,0.0856163419018346,-0.1637325,-0.04555,0.005873,0.05869,0.1769,1.00605293554704,250
"u[32]",-0.0495241632,0.0796311383973901,-0.2209,-0.09432,-0.044705,0.005273,0.0892372499999999,1.00069982685384,1000
"u[33]",-0.0030795088,0.0752525192746497,-0.1460475,-0.053365,-0.00449,0.04838,0.14854,1.01060995722262,280
"u[34]",0.0535791967,0.0416114720555388,-0.02918,0.026775,0.05317,0.08189,0.13141,1.00253875725585,1000
"u[35]",0.02174086914,0.081672470307383,-0.1314075,-0.03078,0.019905,0.0752675,0.184905,1.0027434891784,1000
"u[36]",0.0108182711,0.0668949202403668,-0.114115,-0.03798,0.01107,0.05801,0.1474125,1.00071512295181,1000
"u[37]",0.02206275324,0.076073418712015,-0.133405,-0.02617,0.019725,0.07196,0.171665,1.0037172070413,1000
"u[38]",0.0708747141,0.0342991233471244,0.00196995,0.04854,0.07166,0.09418,0.13431,1.00337546001568,680
"u[39]",0.0730784003,0.0453898968240333,-0.005786175,0.04218,0.07002,0.103425,0.1683225,1.00273219839743,720
"u[40]",0.0059681878,0.0889321438671206,-0.16423,-0.05233,0.006933,0.0632,0.176665,1.002852014355,1000
"u[41]",0.09799935,0.0395568087339299,0.02149,0.07032,0.09731,0.124225,0.1786075,1.00912028960907,300
"u[42]",-0.0240198422,0.0605299218820574,-0.1482025,-0.0662425,-0.01934,0.0179225,0.08869875,1.00015371245493,1000
"u[43]",0.064157614852,0.0754369077165525,-0.07968825,0.00955875,0.061855,0.11495,0.215625,1.0004544765455,1000
"u[44]",-0.05472960592,0.0553882040531552,-0.166715,-0.089095,-0.05644,-0.01596,0.05198125,1.00490028901935,1000
"u[45]",0.0048225598,0.0803355029346135,-0.15301,-0.0498025,0.0024985,0.0588225,0.1656775,1.00000582810621,1000
"u[46]",0.0575752735,0.0522902236650375,-0.0414435,0.0209375,0.05618,0.09352,0.16193,1.00007883753959,1000
"u[47]",0.06916445665,0.0797013244924353,-0.08185475,0.01232,0.07004,0.1191,0.23375,1.00518649899082,660
"u[48]",-0.03968249378,0.0507012159724701,-0.137605,-0.07446,-0.040305,-0.0062495,0.060212,1.00221547192258,1000
"u[49]",-0.061203423,0.0744567280422806,-0.2116,-0.11035,-0.05852,-0.0128775,0.0862532499999999,1.00185878637782,1000
"u[50]",0.0020424439,0.0854590043660128,-0.1656225,-0.053085,0.0029015,0.0579375,0.1719425,1.01751012013112,1000
"u[51]",-0.0102025201,0.0819056300004621,-0.1684075,-0.064245,-0.01384,0.0440225,0.1570475,1.00334339383183,1000
"u[52]",0.0576434145,0.0693475845878816,-0.0785345,0.0130075,0.056235,0.103325,0.188945,1.00055821102182,1000
"u[53]",-0.156892239,0.0644445370200889,-0.2802,-0.1997,-0.1531,-0.1126,-0.035597,1.00933855493049,640
"u[54]",-0.04282326864,0.0872443092000214,-0.219925,-0.0997725,-0.04186,0.0154625,0.1171675,1.01710186602463,170
"u[55]",0.0093845415,0.0805032786692313,-0.14652,-0.0442825,0.009146,0.057605,0.18114,1.0004685823021,1000
"u[56]",-0.01765265271,0.0585927960828612,-0.1322175,-0.0597775,-0.015935,0.02138,0.096971,1.0118232190804,130
"u[57]",0.027889776,0.0787472068167344,-0.121915,-0.02093,0.02218,0.0771025,0.18386,1.02310946513437,100
"u[58]",-0.0030918282,0.0808240495801474,-0.1644,-0.0580525,0.0005049,0.05265,0.1494375,1.00048917339892,1000
"u[59]",0.119195277,0.0387551285588357,0.0444297993956681,0.0931774974841895,0.119299832355289,0.1461,0.192919959674601,1.0092593310952,350
"u[60]",0.0524191009,0.0630200953343632,-0.07069975,0.0091655,0.051425,0.097145,0.1724475,1.00724906577394,210
"u[61]",-0.132758746,0.0659456694274743,-0.258605,-0.1799,-0.1297,-0.08779,-0.004443225,1.00023152474662,1000
"u[62]",0.03880293597,0.0696298149491321,-0.09311875,-0.00534275,0.03827,0.08545,0.1790375,1.01461761748958,110
"u[63]",-0.0852323875,0.069664916984708,-0.2231375,-0.1289,-0.08871,-0.0404325,0.0552145,1.00495736193365,300
"u[64]",0.0239993627233,0.0738812812672013,-0.11542,-0.02576,0.02238,0.07424,0.172325,1.0016018100335,1000
"sdu",0.09188267,0.0175807111624097,0.0603421474202332,0.0795049957539157,0.0914199994530737,0.1039,0.128102499049083,1.02086813432733,95
"gam1[2]",1.0730421,0.0835508804694314,0.91599410025282,1.01774990785486,1.071,1.125,1.254,1.03049663616152,60
"gam1[3]",0.9856925,0.0879279963737165,0.807407292753075,0.9281,0.987449988607018,1.042,1.159,1.07463153914057,25
"gam1[4]",1.0199868,0.0876636789461084,0.84389749985557,0.965299984458643,1.022,1.074,1.19927377744697,1.0683622678181,28
"gam1[5]",1.1354856,0.090933613117673,0.964597499873644,1.073,1.136,1.197,1.31304996290848,1.07498965514671,26
"gam1[6]",1.2192204,0.093474548702281,1.043,1.16074991921005,1.22,1.279,1.40802499134815,1.0683101583532,28
"gam1[7]",1.350044,0.100474550007448,1.17897498965707,1.283,1.344,1.41524993377288,1.56,1.08633798445206,24
"gam1[8]",1.341093,0.0927914036729459,1.1678747383999,1.281,1.339,1.39824993296788,1.5360499682889,1.04871494473624,39
"gam1[9]",1.3019784,0.0939613752212763,1.123,1.235,1.30249990403071,1.365,1.49102499182956,1.06367178982126,30
"gam1[10]",1.34231,0.0967288807770274,1.15692490503449,1.278,1.34,1.40324993320667,1.556,1.07338916155124,26
"gam1[11]",1.445724,0.101445793767278,1.2668998457725,1.378,1.44049991322457,1.506,1.66209988285705,1.09423070591313,23
"gam1[12]",1.586989,0.116344544057433,1.371,1.50774993780751,1.583,1.658,1.84602499340024,1.09766453571774,27
"gam1[13]",1.679744,0.134740905353852,1.447,1.588,1.672,1.767,1.96307494417867,1.04925836828467,54
"gam1[14]",1.574411,0.144931774633095,1.30369864593129,1.48,1.572,1.662,1.893,1.0230451107977,88
"gam2[2]",0.9599127,0.0468297864356395,0.872292498742264,0.928024990907131,0.959049998696627,0.9924,1.05204995371761,1.07311138069751,26
"gam2[3]",0.9485132,0.0515850432048132,0.852827379555763,0.916074974410648,0.9447,0.980924999044302,1.05502498845507,1.09694318794243,21
"gam2[4]",1.0140674,0.0504754041456199,0.921174986760512,0.980874976101457,1.014,1.046,1.121,1.09101463990616,24
"gam2[5]",1.1320442,0.0495116100110457,1.04094995311071,1.098,1.13,1.166,1.229,1.04171055083548,54
"gam2[6]",1.193778,0.0562108920084033,1.08297498873969,1.15774991900064,1.191,1.232,1.306,1.07620328763291,26
"gam2[7]",1.266725,0.0521514443534227,1.165,1.233,1.264,1.3,1.37507492034167,1.09235223767849,22
"gam2[8]",1.235573,0.0497338529286353,1.13992490361588,1.204,1.237,1.268,1.33307491783552,1.14001385919514,16
"gam2[9]",1.223627,0.0517597618227127,1.13489982779417,1.19,1.219,1.254,1.331,1.08965739526676,23
"gam2[10]",1.257627,0.0519379574340619,1.15494995774403,1.22274992330765,1.256,1.29124992741467,1.363,1.09534989868962,21
"gam2[11]",1.320729,0.0512714767031663,1.23197499010226,1.286,1.316,1.352,1.42902499147524,1.11483222364834,19
"gam2[12]",1.344756,0.0526446000831796,1.25394996108354,1.305,1.342,1.378,1.456,1.10574514944652,20
"gam2[13]",1.391318,0.0515425796164056,1.293,1.356,1.39,1.427,1.4880249918131,1.14224100283085,16
"gam2[14]",1.453262,0.0608696185832182,1.335,1.4127499336244,1.454,1.493,1.57702499227494,1.07814058669824,28
"sdgam1",0.1354935,0.0460891892260377,0.0673462459224724,0.102674990866282,0.12874991262133,0.159474947125165,0.244819968205639,1.00017291793755,1000
"sdgam2",0.07957517,0.0234102521019013,0.0464982487144516,0.0637674998529738,0.076364998526812,0.0916074990790515,0.133412477216059,1.00433436888853,1000
"beta1[1]",2.829663,0.117882949661182,2.58487488198219,2.752,2.83349995588495,2.91224996781208,3.04802499600234,1.05062350946571,51
"beta1[2]",-0.2580481,0.0242180244673074,-0.3056125,-0.274825,-0.2579,-0.241475,-0.2105,1.0012338447434,1000
"beta1[3]",-0.6167773,0.0485274979033822,-0.718825,-0.6488,-0.61275,-0.5861,-0.5245775,1.0009400983393,1000
"beta1[4]",-0.9644635,0.0533835557243218,-1.068,-1,-0.96725,-0.9314,-0.8588875,1.00264657237853,610
"beta1[5]",-0.24249939,0.0635919250775046,-0.3729,-0.285625,-0.2434,-0.2007,-0.11794,1.00006870067546,1000
"beta1[6]",3.400545,0.0715007995713288,3.266,3.355,3.398,3.446,3.5540249965714,1.01729207024202,1000
"beta1[7]",2.119199,0.244692381901768,1.64887481485926,1.94674995183457,2.11749994096812,2.296,2.608,1.0023269215385,1000
"beta1[8]",0.5772482,0.0638111388254292,0.454497499731809,0.532174998238251,0.5748,0.619399975788227,0.704127479077226,1.00447555630855,1000
"beta1[9]",0.25272582,0.0708775154991407,0.110392490046728,0.2029,0.253649955647542,0.298,0.3934,1.00447924527082,710
"beta1[10]",0.46716914,0.122396854336261,0.235394997927898,0.382974997551846,0.469849997339576,0.5501,0.713714993855859,1.00153620964623,980
"beta1[11]",-0.6481874,0.0748219968488709,-0.793855,-0.696675,-0.6493,-0.595075,-0.5010825,1.0025316941378,1000
"beta1[12]",-1.0530572,0.157798755430375,-1.34305,-1.16425,-1.05,-0.952,-0.7247975,1.00473353621261,850
"beta1[13]",-1.0002964,0.0634463775945473,-1.138025,-1.041,-0.99635,-0.95535,-0.8845925,1.0112541940056,130
"beta1[14]",-0.1715584161,0.0607801723230536,-0.2947225,-0.212325,-0.1728,-0.128275,-0.064139,1.01491854657659,100
"beta1[15]",0.17809554,0.047762657811198,0.084272971612552,0.143574836567954,0.178849937098116,0.210124995539078,0.263007495832502,1.01669415638486,1000
"beta1[16]",-0.615801498,0.348451868742505,-1.26705,-0.849125,-0.6209,-0.37685,0.0700452499999999,1.00287507985888,800
"beta2[1]",0.6199767,0.0585480207850603,0.48996244392395,0.583749993575283,0.622499991967871,0.659574987209611,0.73033995733935,1.05043432755111,55
"beta2[2]",-0.2155491,0.0128575921877647,-0.2404025,-0.224625,-0.2156,-0.2071,-0.1912,1.01981042905094,95
"beta2[3]",0.080831478,0.0283475649023582,0.02720025,0.06117,0.080355,0.1001,0.136135,1.00333636370147,450
"beta2[4]",-0.5841712,0.034527797487812,-0.64812,-0.6104,-0.5836,-0.56005,-0.5190875,1.0159433856091,96
"beta2[5]",-0.5300319,0.0331450615853629,-0.5920075,-0.554625,-0.52905,-0.5057,-0.467,1.03207506995692,52
"beta2[6]",2.934605,0.03948777354143,2.85592496156743,2.908,2.93349995738878,2.961,3.01302499595591,1.01737415740721,92
"beta2[7]",0.7398408,0.153334517606603,0.461242359778268,0.626274962566381,0.7405,0.845324679701814,1.04102498829991,1.00440513443136,800
"beta2[8]",0.3598381,0.0357610306017556,0.289494998315296,0.3358,0.3601,0.383,0.431007497456212,1.02079642468414,79
"beta2[9]",0.112788685,0.0385360756641795,0.0384105,0.0845,0.1129,0.1385,0.1911,1.01114921025278,140
"beta2[10]",0.2241344,0.0716450349156735,0.0872074986014553,0.1759,0.2277,0.2731,0.3611,1.00184311312799,810
"beta2[11]",0.7712914,0.0240958613993477,0.723094999325697,0.754774998757853,0.7713,0.7873,0.8174,1.00246732780787,610
"beta2[12]",0.23779684856,0.187055018779031,-0.118645,0.1116,0.25135,0.3665,0.5913,1.00212331500508,1000
"beta2[13]",-0.327189,0.0250882454360415,-0.37461,-0.34545,-0.32735,-0.311475,-0.278085,1.00461719165732,380
"D1",54903.84,10.8522887987821,54880,54900,54900,54910,54930,1.01293953966654,120
"D2",224511.9,32.3950527000565,224500,224500,224500,224500,224600,1.00035471457415,1000
"deviance",279428.1,44.9712398362822,279400,279400,279400,279500,279500,1.01428335269329,130
"BrCa",54962.7260860861,58.8860860860861,54903.84
"LBCa",225036.61971972,524.71971971972,224511.9
"Total",279999.345805806,583.605805805806,279415.74
