GEOID,NAME,orderPHD,order,STG Hsp W/ACS Cancer Pgm Approved (2011),STNG/LT Hsp W/ACS Cancer Pgm Approved (2011),# STG Hosp w/Mdcr Certification (2003),# STNG/LT Hosp w/Mdcr Certification (2003),OutZ,OutRank,OutQuart,FactZ,FactRank,FactQuart,SqMi,STGacsPSM,STNGacsPSM,STGmedPSM,STNGmedPSM
22019,Calcasieu,5,1,2,0,8,1,-0.15,27,2,-0.28,16,1,1063.66,0.0018803,0,0.0075212,0.00094015
22111,Union,2,2,0,0,2,0,-0.48,20,2,0.17,46,3,876.99,0,0,0.002280528,0
22105,Tangipahoa,1,3,0,0,3,1,0.6,52,4,-0.01,31,2,791.27,0,0,0.003791373,0.001263791
22021,Caldwell,2,4,0,0,2,0,-0.63,15,1,0.06,36,3,529.42,0,0,0.003777719,0
22107,Tensas,2,5,0,0,0,0,-0.93,8,1,0.46,55,4,602.78,0,0,0,0
22049,Jackson,2,6,0,0,1,0,-0.33,24,2,-0.04,26,2,569.18,0,0,0.001756913,0
22043,Grant,4,7,0,0,0,0,0.16,37,3,0.07,38,3,643.03,0,0,0,0
22061,Lincoln,2,8,0,0,1,2,-0.77,11,1,-0.33,13,1,471.74,0,0,0.002119812,0.004239624
22053,Jefferson Davis,5,9,0,0,1,0,0.54,49,4,-0.04,28,2,651.33,0,0,0.00153532,0
22055,Lafayette,6,10,3,0,5,4,-1.02,5,1,-0.89,2,1,268.72,0.011164037,0,0.018606728,0.014885383
22113,Vermilion,6,11,0,0,2,2,-0.57,17,2,-0.18,23,2,1173.2,0,0,0.001704739,0.001704739
22035,East Carroll,2,12,0,0,0,1,1.31,63,4,0.98,64,4,420.7,0,0,0,0.002376991
22037,East Feliciana,8,13,0,0,1,2,0.43,45,3,0.01,33,3,453.41,0,0,0.002205509,0.004411019
22087,St. Bernard,9,14,0,0,1,0,1.21,62,4,0.57,59,4,377.52,0,0,0.002648866,0
22047,Iberville,8,15,0,0,1,0,0.73,53,4,0.08,39,3,618.63,0,0,0.001616475,0
22083,Richland,2,16,0,0,2,0,0.52,48,3,0.28,50,4,559.04,0,0,0.003577562,0
22099,St. Martin,6,17,0,0,1,0,0.19,38,3,-0.03,30,2,737.65,0,0,0.001355656,0
22027,Claiborne,3,18,0,0,1,0,-0.29,25,2,0.18,48,3,754.88,0,0,0.001324714,0
22039,Evangeline,6,19,0,0,2,0,0.57,50,4,0.12,43,3,662.38,0,0,0.003019415,0
22097,St. Landry,6,20,1,0,4,0,0.82,56,4,0.1,42,3,923.88,0.001082392,0,0.004329567,0
22077,Pointe Coupee,8,21,0,0,1,0,-0.43,22,2,-0.04,27,2,557.35,0,0,0.001794205,0
22059,LaSalle,4,22,0,0,2,0,-0.77,12,1,-0.21,21,2,624.68,0,0,0.003201639,0
22119,Webster,3,23,0,0,2,1,0.39,44,3,0,32,2,593.03,0,0,0.003372511,0.001686255
22093,St. James,7,24,0,0,1,1,-0.28,26,2,0.14,45,3,241.54,0,0,0.004140101,0.004140101
22075,Plaquemines,9,25,0,0,0,0,-0.75,13,1,-0.3,15,1,779.91,0,0,0,0
22067,Morehouse,2,26,0,0,1,1,0.86,57,4,0.71,62,4,794.93,0,0,0.001257972,0.001257972
22079,Rapides,4,27,3,0,3,4,-0.04,32,2,-0.38,12,1,1317.96,0.002276245,0,0.002276245,0.003034993
22009,Avoyelles,4,28,0,0,2,0,0.48,46,3,0.23,49,4,832.43,0,0,0.002402604,0
22127,Winn,4,29,0,0,1,0,0.03,35,3,0.1,41,3,950.09,0,0,0.001052532,0
22115,Vernon,4,30,0,0,1,0,-1.22,2,1,0.13,44,3,1327.91,0,0,0.000753063,0
22025,Catahoula,4,31,0,0,0,0,0.77,55,4,0.34,53,4,708.03,0,0,0,0
22007,Assumption,7,32,0,0,1,0,-0.02,33,3,0.07,37,3,338.66,0,0,0.002952814,0
22031,De Soto,3,33,0,0,1,0,0.33,42,3,0.47,56,4,875.58,0,0,0.0011421,0
22017,Caddo,3,34,4,0,5,5,0.11,36,3,-0.21,20,2,878.54,0.004553008,0,0.005691261,0.005691261
22081,Red River,3,35,0,0,1,0,0.35,43,3,0.56,58,4,389.09,0,0,0.002570099,0
22117,Washington,1,36,0,0,2,0,1.2,61,4,0.34,54,4,669.52,0,0,0.002987215,0
22085,Sabine,3,37,0,0,1,0,-0.1,29,2,0.04,35,3,866.66,0,0,0.001153855,0
22051,Jefferson,9,38,3,0,7,4,-0.58,16,1,-0.55,5,1,295.63,0.01014782,0,0.023678246,0.013530427
22103,St. Tammany,1,39,2,0,4,2,-1.38,1,1,-1.01,1,1,845.55,0.002365324,0,0.004730649,0.002365324
22023,Cameron,5,40,0,0,1,0,-1.2,3,1,-0.5,6,1,1284.89,0,0,0.000778277,0
22033,East Baton Rouge,8,41,2,1,5,4,-0.48,19,2,-0.62,3,1,455.37,0.004392033,0.002196016,0.010980082,0.008784066
22045,Iberia,6,42,0,0,2,0,-0.13,28,2,-0.25,18,2,574.11,0,0,0.003483653,0
22069,Natchitoches,3,43,0,0,1,1,0.22,39,3,0.02,34,3,1252.25,0,0,0.000798563,0.000798563
22109,Terrebonne,7,44,1,0,2,0,0.02,34,3,-0.25,17,2,1231.81,0.000811814,0,0.001623627,0
22013,Bienville,3,45,0,0,0,0,0.23,40,3,0.32,51,4,811.27,0,0,0,0
22015,Bossier,3,46,0,0,0,1,-1.04,4,1,-0.46,8,1,840.06,0,0,0,0.001190391
22003,Allen,5,47,0,0,1,1,-0.42,23,2,-0.03,29,2,761.85,0,0,0.001312594,0.001312594
22073,Ouachita,2,48,2,0,5,2,-0.46,21,2,-0.24,19,2,610.41,0.003276486,0,0.008191216,0.003276486
22095,St. John the Baptist,7,49,0,0,1,1,-0.04,31,2,-0.1,25,2,213.07,0,0,0.004693293,0.004693293
22091,St. Helena,1,50,0,0,1,0,0.89,58,4,0.52,57,4,408.4,0,0,0.00244858,0
22125,West Feliciana,8,51,0,0,1,0,-0.68,14,1,-0.44,10,1,403.21,0,0,0.002480097,0
22101,St. Mary,7,52,0,0,2,0,0.32,41,3,0.1,40,3,555.38,0,0,0.003601138,0
22057,Lafourche,7,53,1,0,3,0,-0.95,7,1,-0.46,9,1,1068.21,0.000936146,0,0.002808437,0
22123,West Carroll,2,54,0,0,1,0,-0.83,9,1,0.61,60,4,359.65,0,0,0.002780481,0
22029,Concordia,4,55,0,0,1,1,1.17,60,4,0.34,52,4,696.92,0,0,0.001434885,0.001434885
22063,Livingston,1,56,0,0,0,0,-0.53,18,2,-0.31,14,1,648.17,0,0,0,0
22121,West Baton Rouge,8,57,0,0,0,0,0.76,54,4,-0.46,7,1,192.39,0,0,0,0
22065,Madison,2,58,0,0,1,0,1.82,64,4,0.69,61,4,624.44,0,0,0.001601435,0
22071,Orleans,9,59,3,1,9,6,1.17,59,4,0.18,47,3,169.42,0.017707473,0.005902491,0.053122418,0.035414945
22005,Ascension,8,60,0,0,1,2,-1.01,6,1,-0.56,4,1,289.98,0,0,0.003448514,0.006897027
22001,Acadia,6,61,0,0,2,1,0.59,51,4,-0.14,24,2,655.12,0,0,0.003052876,0.001526438
22089,St. Charles,7,62,0,0,1,0,-0.78,10,1,-0.39,11,1,279.08,0,0,0.003583202,0
22011,Beauregard,5,63,0,0,1,0,-0.08,30,2,-0.21,22,2,1157.34,0,0,0.00086405,0
22041,Franklin,2,64,0,0,1,0,0.48,47,3,0.81,63,4,624.59,0,0,0.00160105,0
