GEOID,NAME,orderPHD,order,% Persons 25+ W/4+ Yrs College (2005-09),Daily Fine Particulate Matter (2008),Total Number Hospitals (2006),MedInc,Percent Urban Population (2010),Farmland as a % of Total Land (2002),HospPer,Water Area in Square Miles (2010),PercAA,PPBPL,hosp per sq mi,medicaid,PrecMed,HospMam,HospMamPop,HospMamSq,RedR,MissR,River,RsNorth,Median Household Income (2006),Census Population (2010),Census1000,SqMi,NumMed,Percent Agr/Frst/Fish/Hunt/Mine  2006-10,Percent Construction  2006-10,Percent Educ/HlthCare/Soc Asst  2006-10,Percent Manufacturing  2006-10,Percent Workers in Oth Industr  2006-10
22019,Calcasieu,5,1,19.3,9.89,10,39.328,79.5,44.2,0.05187583,30.61,24,16.2,0.0094015,29,0.229488297,4,2.08E-05,0.0037606,0,0,0,0,39328,192768,192.768,1063.66,44238,2.4,10.3,21.3,10.2,55.7
22111,Union,2,2,14.7,11.69,5,33.709,17.1,13,0.220060737,28.41,27.9,22,0.005701319,33,0.260199815,1,4.40E-05,0.001140264,0,0,0,0,33709,22721,22.721,876.99,5912,7.3,9.2,20.8,13.4,49.3
22105,Tangipahoa,1,3,19,11.05,6,32.931,59.1,23.3,0.049547057,31.99,28.4,22.5,0.007582747,38,0.283780771,1,8.26E-06,0.001263791,0,0,0,0,32931,121097,121.097,791.27,34365,3.4,10.1,25,9.4,52.2
22021,Caldwell,2,4,12.5,11.34,2,31.269,0,18,0.197394394,11.3,17.9,21.9,0.003777719,38,0.311192262,0,0,0,0,0,0,0,31269,10132,10.132,529.42,3153,12.4,7.7,24.6,8.7,46.6
22107,Tensas,2,5,10.9,11.59,0,22.934,0,58.6,0,38.41,55.4,32.4,0,41,0.451827875,0,0,0,0,1,1,1,22934,5252,5.252,602.78,2373,21.4,3.4,27.4,3,44.8
22049,Jackson,2,6,13.6,11.32,1,34.901,34.5,5.8,0.061447708,11.09,27.9,15.6,0.001756913,30,0.249354799,0,0,0,0,0,0,0,34901,16274,16.274,569.18,4058,6.9,6,26.1,16,45
22043,Grant,4,7,12.9,10.88,0,34.719,14.4,8.7,0,21.63,11.9,16.1,0,34,0.244923573,0,0,0,1,0,1,1,34719,22309,22.309,643.03,5464,4.9,10.9,26.3,13.4,44.5
22061,Lincoln,2,8,31.2,11.51,3,31.094,59.3,21.9,0.064191719,0.73,39.8,26.4,0.006359435,29,0.209393388,0,0,0,0,0,0,0,31094,46735,46.735,471.74,9786,2.9,4.9,35.2,8.6,48.5
22053,Jefferson Davis,5,9,11.1,10.08,2,32.579,49.3,77.4,0.063303159,7.23,17.8,16,0.00307064,34,0.273374691,0,0,0,0,0,0,0,32579,31594,31.594,651.33,8637,14.6,9.5,23.2,6.7,46.1
22055,Lafayette,6,10,27.7,10.28,17,42.128,91.7,43.4,0.076722418,0.49,23.8,16.4,0.063262876,25,0.18215256,3,1.35E-05,0.011164037,0,0,0,0,42128,221578,221.578,268.72,40361,9,5.8,22.1,5.8,57.3
22113,Vermilion,6,11,10.6,10.02,2,33.781,45.4,47.8,0.034483353,368.87,14.2,17.2,0.001704739,30,0.224848704,1,1.72E-05,0.00085237,0,0,0,0,33781,57999,57.999,1173.2,13041,16.2,8.5,19.6,6,49.7
22035,East Carroll,2,12,9,12.07,1,22.381,65.4,80.5,0.128882588,21.73,67.3,40.8,0.002376991,51,0.525196546,0,0,0,0,1,1,1,22381,7759,7.759,420.7,4075,8.5,9.1,34.5,6.1,41.7
22037,East Feliciana,8,13,11.9,11,3,34.605,0,42.4,0.148023881,2.37,47.1,21.3,0.006616528,30,0.2425618,0,0,0,0,1,1,0,34605,20267,20.267,453.41,4916,2.7,10.4,27.4,12.5,47.1
22087,St. Bernard,9,14,10,10.71,0,37.375,95.7,,0,1780.56,7.6,15,0,30,0.400590579,1,2.79E-05,0.002648866,0,1,1,0,37375,35897,35.897,377.52,14380,2.8,14.6,14,10.8,57.8
22047,Iberville,8,15,11.7,10.53,1,32.256,40.8,24.5,0.029951778,34.23,49.7,17.7,0.001616475,36,0.292179591,0,0,0,0,1,1,0,32256,33387,33.387,618.63,9755,2.5,13.4,16.7,16.9,50.5
22083,Richland,2,16,12.2,11.64,3,27.896,34,60.4,0.144752714,5.47,38,20.3,0.005366342,42,0.345428227,0,0,0,0,0,0,0,27896,20725,20.725,559.04,7159,8.4,9.2,26.3,8.2,47.9
22099,St. Martin,6,17,11.1,10.38,1,35.299,50.4,17.1,0.019171779,78.84,32,16.9,0.001355656,33,0.263171012,1,1.92E-05,0.001355656,0,0,0,0,35299,52160,52.16,737.65,13727,9.1,9.2,18.2,11,52.5
22027,Claiborne,3,18,11.4,11.55,1,29.991,17.6,11.6,0.058156441,12.54,47.4,26.8,0.001324714,32,0.27630125,1,5.82E-05,0.001324714,0,0,0,0,29991,17195,17.195,754.88,4751,9.6,5.5,24.8,13.8,46.3
22039,Evangeline,6,19,10.8,10.47,3,25.315,38.9,43.3,0.088276836,17.25,28.6,22.1,0.004529122,41,0.382179849,0,0,0,0,0,0,0,25315,33984,33.984,662.38,12988,13.9,9.8,24.5,4.9,46.9
22097,St. Landry,6,20,11.6,10.53,5,25.891,51.8,48.8,0.059963542,15.1,42.1,28.3,0.005411958,40,0.362035882,1,1.20E-05,0.001082392,0,0,0,0,25891,83384,83.384,923.88,30188,7.3,8.9,25.2,6.8,51.8
22077,Pointe Coupee,8,21,13.9,10.73,1,34.379,42.2,55.8,0.043855802,33.37,37.8,20.2,0.001794205,32,0.271949829,0,0,0,1,1,1,0,34379,22802,22.802,557.35,6201,5.7,11.2,21.7,11.3,50.1
22059,LaSalle,4,22,12.2,11.09,2,33.099,26.8,4.3,0.134318334,37.71,12.2,13,0.003201639,29,0.23626595,1,6.72E-05,0.00160082,0,0,0,0,33099,14890,14.89,624.68,3518,20.8,5.9,26,4,43.3
22119,Webster,3,23,13.7,11.42,3,33.159,47,15,0.072803165,21.81,32.8,21.5,0.005058766,35,0.277598466,2,4.85E-05,0.003372511,0,0,0,0,33159,41207,41.207,593.03,11439,6,10.3,21.6,12.5,49.5
22093,St. James,7,24,14.7,10.51,2,40.133,72.3,33.6,0.090489548,16.42,49.4,13.6,0.008280202,32,0.251741924,1,4.52E-05,0.004140101,0,1,1,0,40133,22102,22.102,241.54,5564,2.5,8.4,18.5,27.1,43.5
22075,Plaquemines,9,25,15.4,10.51,0,43.466,80.5,6.5,0,1787.29,23.4,11.6,0,28,0.279533027,0,0,0,0,1,1,0,43466,23042,23.042,779.91,6441,5.3,6.2,16,10.8,61.7
22067,Morehouse,2,26,11.3,11.82,3,28.562,50,48.2,0.107223275,11.15,43.4,27.4,0.003773917,44,0.375174238,0,0,0,0,0,0,0,28562,27979,27.979,794.93,10497,3.4,6,26.4,14.9,49.4
22079,Rapides,4,27,19.4,10.64,9,34.923,60.5,23.7,0.068382303,43.7,30.4,18.1,0.006828735,34,0.285739251,2,1.52E-05,0.001517497,1,0,1,1,34923,131613,131.613,1317.96,37607,3.1,7.2,30.4,7.3,52
22009,Avoyelles,4,28,10,10.81,2,27.104,36.2,51.1,0.047536425,33.31,29.5,23.2,0.002402604,41,0.344472702,1,2.38E-05,0.001201302,1,0,1,1,27104,42073,42.073,832.43,14493,7,9.4,23.5,5.7,54.5
22127,Winn,4,29,12,11.06,3,31.16,35.1,3.5,0.19591197,6.74,32,23.7,0.003157596,35,0.298178019,0,0,0,1,1,1,1,31160,15313,15.313,950.09,4566,10.6,7.3,23.3,11.2,47.6
