GEOID,NAME,order,Macs,robert,rouses,rameys,mathernes,cannatas,brookshires,pig,marketbasket,brookshierrbos,fords,winndixie,tot,totSqMi,SqMi,x
22019,Calcasieu,1,0,0,0,0,0,0,0,0,10,3,0,0,13,0.012221951,1063.66,0.757486227
22111,Union,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0.001140264,876.99,0.87370123
22105,Tangipahoa,3,0,0,2,0,0,0,0,2,0,0,0,2,6,0.007582747,791.27,0.86315004
22021,Caldwell,4,1,0,0,0,0,0,1,0,0,0,0,0,2,0.003777719,529.42,0.921404149
22107,Tensas,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0.00165898,602.78,0.905886044
22049,Jackson,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0.001756913,569.18,0.890123644
22043,Grant,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0.001555137,643.03,0.950982765
22061,Lincoln,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.74,0.796220678
22053,Jefferson Davis,9,0,0,0,0,0,0,0,1,1,0,0,0,2,0.00307064,651.33,0.81566814
22055,Lafayette,10,0,0,3,0,0,0,0,1,0,0,0,1,5,0.018606728,268.72,0.712736789
22113,Vermilion,11,0,0,0,0,0,0,0,1,0,0,0,1,2,0.001704739,1173.2,0.915782452
22035,East Carroll,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420.7,0.619283821
22037,East Feliciana,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453.41,0.829933595
22087,St. Bernard,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377.52,0.857906585
22047,Iberville,15,0,0,1,0,0,0,0,0,0,0,0,0,1,0.001616475,618.63,0.877566719
22083,Richland,16,0,0,0,0,0,0,2,0,0,0,0,0,2,0.003577562,559.04,0.847662183
22099,St. Martin,17,0,0,0,0,0,0,0,1,0,0,0,1,2,0.002711313,737.65,0.7352429
22027,Claiborne,18,0,0,0,0,0,0,1,2,0,0,0,0,3,0.003974142,754.88,0.916646562
22039,Evangeline,19,0,0,0,0,0,0,0,1,0,0,0,0,1,0.001509707,662.38,0.977535891
22097,St. Landry,20,0,0,0,0,0,0,0,1,0,0,0,1,2,0.002164783,923.88,0.9245268
22077,Pointe Coupee,21,0,0,0,0,0,0,0,0,0,0,0,1,1,0.001794205,557.35,0.884280316
22059,LaSalle,22,1,0,0,0,0,0,0,0,0,0,0,0,1,0.00160082,624.68,0.92535085
22119,Webster,23,0,0,0,0,0,0,2,1,0,0,0,0,3,0.005058766,593.03,0.72595617
22093,St. James,24,0,0,0,0,1,0,0,1,0,0,0,1,3,0.012420303,241.54,0.779682972
22075,Plaquemines,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779.91,0.912700014
22067,Morehouse,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794.93,0.547622748
22079,Rapides,27,3,0,0,0,0,0,0,0,0,0,0,0,3,0.002276245,1317.96,0.784012542
22009,Avoyelles,28,0,0,0,0,0,0,0,2,0,0,0,0,2,0.002402604,832.43,0.696065565
