"","GEOID","Agriculture...Forestry.NH3","Agriculture...Forestry.PM10.FIL","Agriculture...Forestry.PM10.PRI","Agriculture...Forestry.PM25.FIL","Agriculture...Forestry.PM25.PRI","Bulk.Terminals...Plants.VOC","Coal.CO","Coal.NH3","Coal.NOX","Coal.PM10.FIL","Coal.PM10.PRI","Coal.PM25.FIL","Coal.PM25.PRI","Coal.PM.CON","Coal.SO2","Coal.VOC","Commercial.Institutional.Gas.CO","Commercial.Institutional.Gas.NH3","Commercial.Institutional.Gas.NOX","Commercial.Institutional.Gas.PM10.FIL","Commercial.Institutional.Gas.PM10.PRI","Commercial.Institutional.Gas.PM25.FIL","Commercial.Institutional.Gas.PM25.PRI","Commercial.Institutional.Gas.PM.CON","Commercial.Institutional.Gas.SO2","Commercial.Institutional.Gas.VOC","Degreasing.VOC","Diesels.CO","Diesels.NH3","Diesels.NOX","Diesels.PM10.PRI","Diesels.PM25.PRI","Diesels.SO2","Diesels.VOC","Gas.CO","Gas.NH3","Gas.NOX","Gas.PM10.FIL","Gas.PM10.PRI","Gas.PM25.FIL","Gas.PM25.PRI","Gas.PM.CON","Gas.SO2","Gas.VOC","Heavy.Duty.Gas.Vehicles.CO","Heavy.Duty.Gas.Vehicles.NH3","Heavy.Duty.Gas.Vehicles.NOX","Heavy.Duty.Gas.Vehicles.PM10.PRI","Heavy.Duty.Gas.Vehicles.PM25.PRI","Heavy.Duty.Gas.Vehicles.SO2","Heavy.Duty.Gas.Vehicles.VOC","Light.Duty.Gas.Trucks.CO","Light.Duty.Gas.Trucks.NH3","Light.Duty.Gas.Trucks.NOX","Light.Duty.Gas.Trucks.PM10.PRI","Light.Duty.Gas.Trucks.PM25.PRI","Light.Duty.Gas.Trucks.SO2","Light.Duty.Gas.Trucks.VOC","Light.Duty.Gas.Vehicles...Motorcycles.CO","Light.Duty.Gas.Vehicles...Motorcycles.NH3","Light.Duty.Gas.Vehicles...Motorcycles.NOX","Light.Duty.Gas.Vehicles...Motorcycles.PM10.PRI","Light.Duty.Gas.Vehicles...Motorcycles.PM25.PRI","Light.Duty.Gas.Vehicles...Motorcycles.SO2","Light.Duty.Gas.Vehicles...Motorcycles.VOC","Mineral.Products.PM10.FIL","Mineral.Products.PM10.PRI","Mineral.Products.PM25.FIL","Mineral.Products.PM25.PRI","Misc..Fuel.Comb...Except.Residential..CO","Misc..Fuel.Comb...Except.Residential..NH3","Misc..Fuel.Comb...Except.Residential..NOX","Misc..Fuel.Comb...Except.Residential..PM10.FIL","Misc..Fuel.Comb...Except.Residential..PM10.PRI","Misc..Fuel.Comb...Except.Residential..PM25.FIL","Misc..Fuel.Comb...Except.Residential..PM25.PRI","Misc..Fuel.Comb...Except.Residential..PM.CON","Misc..Fuel.Comb...Except.Residential..SO2","Misc..Fuel.Comb...Except.Residential..VOC","Nonindustrial.VOC","Non.Road.Diesel.CO","Non.Road.Diesel.NH3","Non.Road.Diesel.NOX","Non.Road.Diesel.PM10.PRI","Non.Road.Diesel.PM25.PRI","Non.Road.Diesel.SO2","Non.Road.Diesel.VOC","Non.Road.Gasoline.CO","Non.Road.Gasoline.NH3","Non.Road.Gasoline.NOX","Non.Road.Gasoline.PM10.PRI","Non.Road.Gasoline.PM25.PRI","Non.Road.Gasoline.SO2","Non.Road.Gasoline.VOC","Open.Burning.CO","Open.Burning.NOX","Open.Burning.PM10.FIL","Open.Burning.PM10.PRI","Open.Burning.PM25.FIL","Open.Burning.PM25.PRI","Open.Burning.VOC","Other.Combustion.CO","Other.Combustion.NH3","Other.Combustion.NOX","Other.Combustion.PM10.FIL","Other.Combustion.PM10.PRI","Other.Combustion.PM25.FIL","Other.Combustion.PM25.PRI","Other.Combustion.SO2","Other.Combustion.VOC","Other.Fugitive.Dust.PM10.FIL","Other.Fugitive.Dust.PM10.PRI","Other.Fugitive.Dust.PM25.FIL","Other.Fugitive.Dust.PM25.PRI","Other.CO","Other.NH3","Other.NOX","Other.PM10.FIL","Other.PM10.PRI","Other.PM25.FIL","Other.PM25.PRI","Other.PM.CON","Other.SO2","Other.VOC","Petroleum...Petroleum.Product.Storage.VOC","Petroleum...Petroleum.Product.Transport.VOC","POTW.NH3","POTW.VOC","Residential.Other.CO","Residential.Other.NOX","Residential.Other.PM10.FIL","Residential.Other.PM10.PRI","Residential.Other.PM25.FIL","Residential.Other.PM25.PRI","Residential.Other.PM.CON","Residential.Other.SO2","Residential.Other.VOC","Residential.Wood.CO","Residential.Wood.NOX","Residential.Wood.PM10.PRI","Residential.Wood.PM25.PRI","Residential.Wood.SO2","Residential.Wood.VOC","Service.Stations..Breathing...Emptying.VOC","Service.Stations..Stage.I.VOC","Service.Stations..Stage.II.VOC","Surface.Coating.VOC","Grand.Total"
"1",22001,1402.27867,2065.18,2065.18,309.77,309.77,181.72,0.971247323,0.005827484,2.136744112,2.330993576,2.53301302,0.271949251,0.473968694,0.202019443,6.348072506,0.009712473,7.584999591,0.044245831,9.029761418,0.01,0.046954759,0.009706994,0.038827974,0.029120981,0.054178569,0.496636878,14.34,262.5428377,2.458716741,1033.626815,35.31768134,30.3357233,27.4475627,51.15740844,374.7276958,54.80455043,608.2616731,76.5611,122.6718981,76.3411,122.4560194,46.10706429,10.1694714,74.19258782,438.4259262,1.038153352,93.11274745,2.073762654,1.518983056,1.227607162,40.34114816,4927.137782,26.63250948,332.0887155,7.215467417,3.561501454,7.730123089,375.29971,6683.794461,45.5416604,426.4697759,11.67682668,5.556922064,9.398512388,552.5549076,273.27,273.27,54.65,54.65,0.396727136,0.004013544,0.503262195,0.003287726,0.007634407,0.002323346,0.006670027,0.004346681,0.09666676,1.026004,242.67,170.0050921,0.227718917,327.6706615,33.88511179,32.86855876,42.13690737,35.38824873,2368.715778,0.091732514,17.83209139,8.856736864,8.148197864,0.347391861,342.5618753,368.7994758,19.21601999,111.918468,111.918468,103.938468,103.938468,86.97036639,383.7667379,9.00379781,13.8410196,0.68,42.70525371,0.62,37.48750308,3.96367034,76.8108441,2183.53,2183.53,199.27,199.27,180.9910869,0.250285724,40.64119356,0.312857155,0.941336532,0.078214289,0.706693666,0.406714302,13.37310616,7.571595358,78.03,111.25,0.22,13.16,15.68767946,36.98358727,0.090653692,0.239341404,0.052865782,0.198705821,0.145840038,1.043394198,2.151169974,115.14,1.448745995,16.02,16.02,0.204594806,24.70904505,20.07556384,244.9384508,120.56,96.13,41730.65643
"2",22003,220.9361436,376.32,376.32,56.44,56.44,30.1160778,0.201710587,0.001210264,0.443763292,0.48410541,0.526061212,0.056478964,0.098434767,0.041955802,1.3183804,0.002017106,70.32146104,0.013541856,72.7636441,0.005458197,0.014370949,0.002970917,0.01188367,0.008912752,0.016581865,5.152000425,1.71,73.1849715,0.654762769,228.5678212,8.87046961,7.642145858,6.983048714,14.83988426,41.84518091,1.59410213,49.81569156,0.09,0.259041596,0.05,0.214207474,0.160655605,0.298894149,2.739863036,168.1930741,0.393476234,34.90017949,0.786636357,0.575447564,0.466936862,15.61613562,1748.110101,9.891697346,120.5311544,2.678309517,1.321042442,2.871578696,140.5305142,2241.445739,16.40929831,148.7666431,4.196232482,1.993528423,3.386512823,200.946348,273.27,273.27,54.65,54.65,0.121422102,0.001228383,0.154028166,0.00100624,0.002336583,0.000711082,0.002041425,0.001330343,0.029585778,0.007958771,103.21,42.32001749,0.066390219,88.55484523,8.605619274,8.347450811,12.29256154,8.962333363,623.9898755,0.019736123,4.613711717,1.491751409,1.372411257,0.07821305,53.32453029,243.5364223,11.90374031,69.69271704,69.69271704,64.97271704,64.97271704,54.12467751,12225.75757,206.7133803,287.8872033,0.29,1341.279028,0.27,1138.669517,126.9397209,2876.062335,1062.36,1062.36,95.66,95.66,763.3996889,0.05197984,145.164741,45.0649748,46.73085043,45.0162437,46.68211933,1.614467245,17.77901504,12.25460299,11.02,19.19728817,0.09,5.65,7.126834542,16.82122285,0.039589214,0.110413507,0.023422921,0.093125791,0.05970287,0.4740267,0.975925736,283.41,3.41,38.37,38.37,0.501248094,62.50698468,6.839268608,98.1050976,48.2,100.58,32585.79305
"3",22005,189.3819014,315.2,315.2,47.28,47.28,160.72,2.519864092,0.015119185,5.543701002,6.047673821,6.571805552,0.705561946,1.229693677,0.524131731,16.46983171,0.025198641,15.43738107,0.084218056,17.18735842,0.03,0.089374264,0.01,0.073905641,0.055429231,0.103124151,0.945304713,31.59,244.9838919,2.015923883,807.9303656,27.90984891,24.00148326,21.86822285,47.43513866,2235.749798,39.80827801,3011.321188,196.22,237.5045441,194.2296203,235.5140753,41.27545977,32.73392713,227.2276653,568.5575567,1.167445769,100.525673,2.322768037,1.706918504,1.505653971,50.97651037,5486.791118,30.95509647,377.1055502,8.450117459,4.205183528,9.642546388,443.9176514,7686.081419,54.83910462,513.9835603,14.16724021,6.813409697,12.12972814,696.9695722,424.27,456.1007359,56.65,88.48073586,0.755135287,0.007639429,0.957915422,2.006257897,2.167857118,2.004422284,2.166021505,0.161599221,0.183996694,14.04949633,2084.84,183.7550789,0.271594263,358.9498696,33.89212951,32.87536548,50.29644386,39.28268757,3618.253006,0.121252632,29.59019808,6.371505344,5.86178491,0.48168389,288.3168409,2308.32994,73.90958404,286.2505857,286.2505857,280.6005857,280.6005857,203.164635,38553.82099,676.0656817,328.6269779,0.88,3668.15229,0.8,3130.598722,201.8053206,8740.875444,3919.13,3919.13,365.63,365.63,523.8240339,0.993356753,597.4822751,32.81169594,242.7470877,16.20292399,226.1383158,209.3304126,36.70815562,36.17876894,146.95,127.0113172,0.31,18.27,15.28669339,35.95222718,0.069476387,0.203578567,0.035874715,0.169976894,0.124102179,0.355158836,2.096957336,132.36,1.67,18.44,18.44,0.24677674,28.4030645,20.05072134,43.12,21.66,487.2415,167525.3705
"4",22007,135.1368557,503.08,503.08,75.46,75.46,86.1160778,0.137510228,0.000825061,0.302522503,0.330024548,0.358626676,0.038502864,0.067104991,0.028602128,0.898766853,0.001375102,45.97983008,0.011549009,56.35694057,0.004654958,0.012256091,0.002533711,0.010134844,0.007601133,0.014141643,12.12963173,2.57,53.12694644,0.456800796,160.7491421,6.140559378,5.290620322,4.843323971,10.66637644,477.5267147,1.086731985,486.9603747,501.06,563.9299999,326.03,388.8994355,62.86292815,0.203762248,74.86782061,130.8373456,0.293120387,25.56879553,0.584238347,0.427863277,0.346706741,12.15188188,1321.555757,7.498032827,90.83511565,2.032656044,1.00404217,2.175924749,107.9179946,1737.578913,12.76508485,115.4203181,3.270407063,1.558299089,2.631460487,158.9450109,273.27,273.27,54.65,54.65,2.103553376,0.001047612,2.131361066,0.000858159,0.001992726,0.000606438,0.001741005,0.001134567,0.025231875,0.006787542,55.3,59.76358433,0.08405127,120.6928199,11.74016956,11.38796461,15.63687611,12.50791964,1185.612839,0.058763512,13.32482955,3.717907038,3.420474575,0.221740215,219.0147948,302.761049,11.84328547,58.26117061,58.26117061,55.35117061,55.35117061,43.7856223,183053.8896,3081.304592,1246.778021,0.27,17338.1066,0.25,14741.92018,934.3834862,42218.32359,1429.26,1429.26,131.4,131.4,58.30653317,0.035435719,11.24951894,0.044294649,0.149865768,0.011073662,0.116644781,0.057583043,1.896094144,5.022618854,122,33.27873685,0.08,5.18,5.278045704,12.43775092,0.026852953,0.076460232,0.014557028,0.054164307,0.039607279,0.214322294,0.720523971,42.11,0.527676276,5.83,5.83,0.065340018,9.040664301,3.956220926,56.74955354,27.95,85.08,278726.912
"5",22009,863.9974931,1780.05,1780.05,267,267,180.7264668,0.295842195,0.001775053,0.650852829,0.710021268,0.771556445,0.082835815,0.144370991,0.061535177,1.933624586,0.002958422,6.988477993,0.040766122,8.319616659,0.01,0.043262007,0.008943588,0.035774352,0.026830764,0.0499177,0.457578916,4.93,137.3671092,1.281546074,513.6322738,18.17786413,15.62895631,14.15845916,27.18732789,61.37293201,2.338016455,73.06301429,0.14,0.379927674,0.07,0.314170961,0.235628221,0.438378086,4.018465786,242.9040481,0.579176619,52.11891075,1.160573089,0.84857033,0.688215085,22.3603082,2632.855047,14.49990877,180.1803674,3.924903559,1.935230892,4.209708235,204.0011696,3467.602138,24.25031197,225.1531182,6.205605807,2.946284376,5.008058425,292.9269748,273.27,273.27,54.65,54.65,0.365526567,0.003697899,0.463683185,0.003029163,0.007034,0.002140626,0.006145463,0.004004837,0.089064411,0.023958918,124.62,177.5837081,0.232097467,336.6630443,35.70403776,34.63291651,43.04599307,36.4396703,2044.066137,0.09124418,21.53126139,6.199313658,5.703368607,0.347091313,324.3006259,423.3330767,19.97435138,109.6827947,109.6827947,102.5427947,102.5427947,84.35249521,4034.113223,140.0539277,199.0361989,0.48,426.5290002,0.44,398.6093216,31.87409893,504.4027098,1983.02,1983.02,179.8,179.8,48.50103937,0.076237099,12.0720368,0.095296373,0.278384424,0.023824093,0.206912144,0.123885285,4.072320947,2.505113658,33.35,110.2321009,0.15,9.26,13.67490101,32.1763212,0.0654093,0.180788648,0.032192391,0.152809315,0.110616925,0.402419207,1.874611497,527.68,6.35,71.46,71.46,0.947587961,116.3777741,10.42967779,149.6073069,73.06,93.93,30384.63563
"6",22011,367.6147831,229.9,229.9,34.48,34.48,30.11,0.445064651,0.002670388,0.979142232,1.068155163,1.16072861,0.124618102,0.21719155,0.092573447,2.90894256,0.004450647,4.536202669,0.026461182,5.400241272,0.01,0.028081255,0.005805259,0.023221037,0.017415778,0.032401448,0.29701327,6.25,102.0085994,0.919286393,320.5181152,12.46355018,10.73760903,9.80972846,20.72206753,2609.329367,6.460809215,2129.915913,1507.21,1763.364984,1507.11,1763.266059,256.1478999,156.6594955,156.0453752,231.7157652,0.548766487,49.085171,1.10112303,0.806391783,0.715036879,21.10060058,2439.673248,13.77037347,168.8555237,3.741598484,1.852056353,4.248189044,193.1128653,3122.214377,22.77943489,207.7316589,5.83719512,2.779040511,4.998823421,274.3335675,273.27,273.27,54.65,54.65,0.237262332,0.002400297,0.300975535,0.001966222,0.004565751,0.001389475,0.003989004,0.002599529,0.057811475,0.015551671,332.84,93.64392174,0.146061618,193.1658222,17.84906074,17.31358871,27.05357749,19.98305947,2543.697836,0.116407346,18.0845926,17.22813566,15.84988476,0.415582307,577.2535935,364.8963587,17.22409345,98.56791774,98.56791774,92.10791774,92.10791774,76.23469681,22206.37951,367.3131425,451.4826424,0.38,2391.778737,0.35,2026.959107,212.2615952,5280.516409,1521.17,1521.17,137.97,137.97,1863.250819,3.053191002,1223.896668,935.1433638,1094.168684,935.0358409,1094.061161,158.8903202,99.13563563,94.27309343,62,22.59496907,0.12,7.44,9.361016333,22.07224536,0.042047987,0.147338295,0.029259101,0.122297623,0.088404443,0.601723832,1.28652919,390.36,4.69,52.86,52.86,0.695492938,86.09608289,9.403196769,42.58118941,66.62,163.8734,83121.65925
"7",22013,808.1230849,33.92,33.92,5.08,5.08,32.11,0.555680135,0.003334081,1.222496296,1.333632323,1.449213791,0.155590438,0.271171906,0.115581468,3.63192536,0.005556801,1.66877069,0.009734496,1.986631774,0.003923598,0.010330485,0.002135629,0.008542517,0.006406887,0.011919791,0.109264748,4.44,132.8347918,1.372349193,607.9749611,20.3270487,17.439071,15.6968052,25.78777294,125.2767242,4.391494255,148.2341955,0.27,0.713617816,0.14,0.590107041,0.44258028,0.823405173,12.54788075,138.7513313,0.406535133,38.87684761,0.81874709,0.598541597,0.483767661,12.67642268,1967.579959,10.07614638,130.4887545,2.72088123,1.337659908,2.927429039,133.3723765,2633.412284,16.56704919,160.9015342,4.228751389,1.995712605,3.430739948,185.0961928,277.0390247,277.359793,55.93004616,56.25081422,0.087283672,0.000883017,0.110722379,0.00072333,0.001679641,0.000511158,0.001467468,0.00095631,0.021267589,0.005721123,104.48,33.31914689,0.071834619,89.33306108,7.011582477,6.801235253,13.34339069,7.437784812,891.5131412,0.037028874,8.356471993,3.541764625,3.258423451,0.140608487,131.6594374,101.66,6.41,42.97,42.97,39.54,39.54,34.07,10638.78261,177.0590527,274.6252487,0.18,1201.04961,0.17,1017.4217,119.2099375,2517.25888,880.12,880.12,81.08,81.08,74.58719611,0.143196075,17.84170835,0.178995094,0.501766107,0.044748774,0.367519786,0.232693622,7.643824895,3.300535389,30.99,41.20456639,0.05,3.45,5.926151511,13.97598888,0.027868073,0.09022533,0.021880123,0.072712135,0.049866739,0.39532237,0.812936898,210.62,2.52,28.5,28.5,0.375865632,46.45392951,6.950556391,99.70145232,54.63,97.9917,32660.95147
"8",22015,109.1083996,266.42,266.42,39.96,39.96,61.83,1.313070857,0.007878425,2.888755885,3.151370056,3.424488794,0.36765984,0.640778578,0.273118738,8.582231119,0.013130709,26.15248499,0.146722829,30.94343451,0.05,0.155705859,0.03,0.128756768,0.096567576,0.179660607,5.646888898,37.74,278.7949737,2.250849095,876.9737682,30.75474248,26.46310706,24.16502005,54.27877155,443.3986293,10.37709064,467.2840825,9.64,14.20501378,9.34,13.9131581,4.564552712,56.9457045,69.83562454,689.3612001,1.416942987,122.2243713,2.808314403,2.061715096,1.663908262,61.42631869,6955.774604,37.66969908,493.0439078,10.23366521,5.067802406,10.92498308,569.1813098,9579.643131,66.74166533,650.2462026,17.17454683,8.225225414,13.73795409,869.8369928,273.27,273.27,54.65,54.65,7.315579944,0.013309244,7.668858995,1.01090237,1.101979171,1.007704406,1.098781207,0.091076801,0.320554958,4.086231412,264.67,297.3746792,0.451178529,592.8611521,54.76601189,53.12303165,83.59490926,63.33276558,5257.493454,0.202524484,43.32553764,17.85055812,16.42251349,0.774042233,695.713865,1950.828633,65.42966369,270.4688565,270.4688565,262.7088565,262.7088565,195.3272198,7826.584973,134.5402227,213.0532027,1.13,910.2507198,1.03,779.2973877,86.91283082,1786.23944,2445.7,2445.7,217.3,217.3,244.5152037,0.33837199,58.5068222,0.422964988,1.272754141,0.105741247,0.9555304,0.549854485,18.08204797,12.20899326,193.88,30.74128543,0.38,22.5,27.45576862,64.57805167,0.136392809,0.368228097,0.07197083,0.300839393,0.228868562,0.652885984,3.775242176,169.75,2.15,23.65,23.65,0.321516832,36.42805278,23.56705545,106.7204352,161.41,245.9268,57102.96536
"9",22017,329.3428058,548.25,548.25,82.23,82.23,415.72,5.001988784,0.030011933,11.00437532,12.00477308,13.04518675,1.400556859,2.440970526,1.040413667,32.69299869,0.050019888,78.0098736,0.455057596,92.86889714,0.18,0.482918265,0.09,0.399336258,0.299502193,0.557213383,5.107789343,128.72,725.7767544,5.818058372,2275.928275,79.13839876,68.07838161,62.28417232,140.6146469,1496.844697,45.04029173,1760.65123,40.533,88.76904447,39.02007447,87.25432912,48.22628348,118.8195321,115.0251111,1863.741584,3.824375611,329.0245501,7.561579702,5.558002807,4.476522951,166.3038933,19189.15091,103.1284215,1356.769121,28.02724288,13.88550768,29.90610981,1564.838526,26741.98964,184.8674452,1810.389943,47.58455411,22.80593877,38.0389076,2420.187975,374.2674506,403.641739,136.0076248,165.3819129,4.080241979,0.041278325,5.175929111,0.033813459,0.078518015,0.023895044,0.0685996,0.044704557,0.994194082,0.26744481,926.15,464.7138244,0.701451694,939.3596522,87.2123664,84.59599555,129.9831208,102.1009103,21291.00323,0.726674389,166.0335869,51.55878954,47.43408587,2.865141926,1876.746147,0,0,0,0,0,0,0,5302.457754,92.04918933,177.6626177,2.91,653.381987,2.65,562.6332079,67.09430094,1151.635853,4704.13,4704.13,387.86,387.86,1090.476323,1.288988246,249.6654511,16.61123531,28.27341073,2.402808827,14.06498425,10.32693114,68.91894023,52.61807952,608.25,292.7529585,0.95,56.11,78.37790196,184.2347963,0.385655178,1.026554703,0.213461358,0.847614263,0.634152905,1.387427662,10.77002697,486.53,6.19,67.82,67.82,0.917390021,104.3908378,62.1247477,281.3240767,434.17,1349.66,124166.0375
"10",22019,474.5937498,368.57,368.57,55.28,55.28,750.56,684.7901883,0.02656073,4601.666794,576.7872919,808.8506412,387.3917007,619.4550501,232.0633494,13277.69741,79.40386788,121.0740387,0.286265226,148.4214747,9.11,10.10915815,8.8725,9.86907882,0.993775735,0.350528848,8.213181107,77.98,658.072551,5.714271754,2332.762549,80.16806602,68.8937568,62.65708457,127.5526622,3933.344239,43.86454245,11551.26695,604.15,907.7407591,593.17,899.1133978,312.5420833,8541.559602,772.1296823,1390.755772,3.019447537,264.5905497,6.012304158,4.419587071,3.892642423,124.8607711,14387.71056,80.06178089,980.0870399,21.8347206,10.85402055,24.93751757,1129.120377,20114.53167,140.7676029,1326.034216,36.31364566,17.42704144,31.14998481,1756.086957,684.27,770.9086254,181.7676471,268.4062725,5.566777045,0.02596715,7.256046112,1.021271192,1.59821538,1.015031768,1.591975956,0.576944188,0.625422355,7.168242766,3123.57,412.619329,0.609653036,805.8491909,75.56246519,73.29559147,112.8939095,88.41897725,12159.99612,0.509054836,88.86179167,62.5845806,57.57781384,1.870187042,2213.359035,2007.646267,71.19562922,308.2071393,308.2071393,296.8871393,296.8871393,225.3634598,88726.17277,1455.136688,633.748776,2.12,8491.360636,1.93,7199.267152,484.2397036,20676.31991,4293.31,4293.31,371.13,371.13,1017.144504,1.143261864,385.9080746,5.425952331,8.689416183,2.356488083,5.619951935,2.194488667,202.97385,118.0462504,1082.9,634.93,0.69,40.96,46.642539,109.7956148,0.251472292,0.671214673,0.14418704,0.561492274,0.412449755,1.932420273,6.410446521,337.81,4.28,47.09,47.09,0.632308595,72.48168262,46.55321532,100.1369376,328.52,699.2,356294.5689
