,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
deviance,189024.2,42.85085992,189000,189000,189000,189000,189100,1.015036007,140
sigma1,1.203809,0.016112359,1.175,1.193,1.203,1.214,1.235,1.01062694,140
sigma2,1.789254,0.016535928,1.757,1.778,1.789,1.8,1.823,1.00040692,1000
sigma3,1.155631,0.017748742,1.121,1.144,1.156,1.168,1.18902499,1.012109409,1000
u[1],-0.017347123,0.091814721,-0.1996125,-0.08136,-0.01622,0.04931,0.1584,1.004170491,1000
u[2],0.027207621,0.150723743,-0.2707275,-0.06959,0.024485,0.12225,0.332045,1.014011476,540
u[3],0.083209193,0.113647683,-0.12354,0.00302625,0.080535,0.160125,0.3329525,1.001502172,1000
u[4],0.018076515,0.157224849,-0.3120175,-0.08166,0.02074,0.1239,0.3181,1.004865919,410
u[5],-0.016803411,0.159924857,-0.3402,-0.12125,-0.01262,0.090735,0.263775,1.00330701,450
u[6],-0.000331299,0.152051326,-0.2842875,-0.100925,-0.004348,0.0985175,0.3093575,1.001547812,970
u[7],0.028005984,0.166834056,-0.2974,-0.0790975,0.02518,0.13795,0.3592075,1.01609642,94
u[8],-0.07401148,0.129105295,-0.3246125,-0.158675,-0.07215,0.015225,0.1733375,1.024074093,72
u[9],-0.075793656,0.139440507,-0.3646025,-0.166325,-0.07,0.0183175,0.192105,1.001977661,760
u[10],0.108490226,0.094507553,-0.06713725,0.04035,0.1071,0.173525,0.2982575,1.00360739,420
u[11],-0.082520836,0.133573336,-0.34233,-0.174375,-0.088015,0.0091265,0.166775,1.003850708,450
u[12],-0.074863309,0.161145196,-0.4123,-0.175125,-0.068925,0.0186425,0.24713,1.005740175,1000
u[13],0.044231639,0.151242485,-0.262925,-0.04703,0.047735,0.1469,0.34041,1.003636949,800
u[14],0.039921411,0.131413276,-0.2191175,-0.04313,0.040545,0.1263,0.2946,1.00135598,1000
u[15],0.126215935,0.141304023,-0.130705,0.03572,0.1196,0.217175,0.421805,1.002334236,640
u[16],0.020614805,0.14771722,-0.2712575,-0.0809825,0.018635,0.1217,0.3179725,1.00570758,510
u[17],-0.062558347,0.13454579,-0.3292575,-0.1477,-0.06152,0.02753,0.19672,1.001238864,1000
u[18],0.062175872,0.152027311,-0.22118,-0.0456575,0.063455,0.15795,0.3775375,1.001095698,1000
u[19],-0.05928323,0.149097602,-0.3529075,-0.155375,-0.04835,0.0425925,0.228525,1.0013209,1000
u[20],-0.003339473,0.108634981,-0.217105,-0.0740125,-0.01023,0.06587,0.23235,1.025622251,74
u[21],-0.078160957,0.135548635,-0.3493225,-0.16585,-0.07462,0.01001,0.172835,1.000656886,1000
u[22],-0.031478799,0.162598259,-0.37717,-0.1364,-0.02623,0.0841625,0.25664,1.004062537,370
u[23],0.096438456,0.132798467,-0.1461,0.0049665,0.088645,0.1802,0.3757075,1.002557742,1000
u[24],0.032936674,0.144039375,-0.2378075,-0.0702075,0.03239,0.1375,0.3278825,1.00741453,1000
u[25],0.018868368,0.14290978,-0.2599025,-0.07394,0.02214,0.103175,0.3038075,1.003029776,1000
u[26],0.053645418,0.139311382,-0.1932425,-0.0417325,0.03775,0.1389,0.3555,1.012788861,130
u[27],-0.114249261,0.102700321,-0.3276,-0.1842,-0.11525,-0.0435925,0.0879375,1.000978828,1000
u[28],-0.169788334,0.146717426,-0.4696725,-0.2649,-0.16225,-0.07361,0.12321,1.000040291,1000
u[29],-0.142324637,0.154708868,-0.48387,-0.23905,-0.13325,-0.0382525,0.1503,1.001570564,950
u[30],-0.063675167,0.14462193,-0.347105,-0.1624,-0.06485,0.0400825,0.2136025,1.001538509,970
u[31],-0.107410682,0.163790067,-0.41682,-0.2182,-0.1013,0.0027785,0.20684,1.000424615,1000
u[32],-0.044025946,0.143503999,-0.3358875,-0.12995,-0.03882,0.0511125,0.24779,1.003983056,520
u[33],0.04996467,0.140576723,-0.238615,-0.032225,0.04844,0.1358,0.3339625,1.000708961,1000
u[34],0.178245995,0.083345557,0.0181125,0.12145,0.1755,0.23585,0.339265,1.002278222,800
u[35],-0.039451751,0.171233545,-0.3932,-0.15635,-0.03668,0.07467,0.2970725,1.017129436,1000
u[36],0.003583842,0.127779746,-0.236605,-0.08783,0.0005903,0.083585,0.2647775,1.005168256,1000
u[37],0.009897424,0.140678303,-0.2689,-0.0860425,0.0036455,0.1053,0.279765,1.003770504,520
u[38],0.048598596,0.066762808,-0.088171,0.00741875,0.048425,0.09335,0.1797125,1.001806473,830
u[39],0.237411957,0.093519964,0.05858875,0.175475,0.2397,0.294525,0.42267,1.007142406,210
u[40],0.067654361,0.1590808,-0.21201,-0.04529,0.05871,0.1798,0.37388,1.00014182,1000
u[41],0.149799945,0.074838943,0.000793875,0.1032,0.1469,0.1976,0.2980125,1.002587271,1000
u[42],-0.06192815,0.117841166,-0.29794,-0.1385,-0.06162,0.0139075,0.16208,1.01334485,180
u[43],0.032996906,0.142375248,-0.243515,-0.0602625,0.025885,0.131325,0.3244075,1.001225208,1000
u[44],-0.245498105,0.118257087,-0.494945,-0.32235,-0.24005,-0.16425,-0.02982425,1.026944965,66
u[45],-0.082829604,0.156530821,-0.3882525,-0.18195,-0.082765,0.02225,0.21533,1.002091649,810
u[46],0.059734407,0.108088156,-0.149,-0.0134,0.06598,0.13075,0.2595,1.000090536,1000
u[47],-0.04281684,0.158678744,-0.3657,-0.13825,-0.039165,0.05486,0.2763,1.00304911,670
u[48],-0.035053763,0.096857315,-0.215215,-0.09549,-0.03181,0.028245,0.1532125,1.003832382,390
u[49],-0.059078851,0.128739128,-0.31582,-0.1499,-0.05463,0.03201,0.18263,1.000005263,1000
u[50],0.0364807,0.152264337,-0.277265,-0.0603725,0.036145,0.1394,0.3312025,1.004518591,340
u[51],0.043614204,0.154882634,-0.25233,-0.06152,0.033115,0.148875,0.365885,1.002842254,1000
u[52],0.123303212,0.135911459,-0.14462,0.03596,0.1213,0.20765,0.41091,1.005856948,1000
u[53],-0.194628398,0.120569675,-0.441955,-0.27235,-0.19295,-0.109175,0.034523,1.02421374,66
u[54],-0.027537138,0.150303713,-0.33836,-0.119575,-0.027645,0.06938,0.2548375,1.000993669,1000
u[55],-0.095404966,0.15238211,-0.4045175,-0.19505,-0.094945,0.0048,0.19557,1.00024154,1000
u[56],0.00165038,0.114042461,-0.2111825,-0.07568,0.0087395,0.077425,0.22601,1.006096916,250
u[57],0.047453487,0.149930264,-0.2401,-0.04717,0.04439,0.14105,0.3420275,1.02885778,57
u[58],0.028043331,0.152079707,-0.270105,-0.07226,0.037865,0.124125,0.31841,1.006619362,230
u[59],0.229913001,0.070121365,0.0911255,0.182,0.23335,0.27605,0.36303,1.000556196,1000
u[60],0.170802736,0.135025829,-0.07724625,0.0804475,0.1692,0.2593,0.4582175,1.008200887,180
u[61],-0.232485124,0.128482823,-0.506,-0.309525,-0.226,-0.1472,0.002587225,1.007576015,430
u[62],0.089791306,0.142511126,-0.1760025,-0.002031,0.08261,0.18175,0.3795375,1.00304977,490
u[63],-0.08246093,0.145745995,-0.3891075,-0.170325,-0.07654,0.0158675,0.193,1.000240043,1000
u[64],0.044264995,0.148367693,-0.22798,-0.0626275,0.04499,0.13645,0.3605975,1.027362758,67
sdu,0.16838539,0.032924556,0.10479249,0.145974994,0.168149993,0.1903,0.23195227,1.027261,63
beta1[1],4.088809,0.082917548,3.933924972,4.031749977,4.084,4.144,4.265,1.00961918,210
beta1[2],-0.2430832,0.022425371,-0.286125,-0.2584,-0.2433,-0.2292,-0.1959975,1.00987723,150
beta1[3],-0.603341,0.050960036,-0.699925,-0.6358,-0.60605,-0.57095,-0.4991975,1.000063371,1000
beta1[4],-0.9426314,0.049043059,-1.04105,-0.974125,-0.9396,-0.9088,-0.8460775,1.028795247,63
beta1[5],-0.25203325,0.060797512,-0.379005,-0.290325,-0.25235,-0.2148,-0.1321675,1.015955111,97
beta1[6],3.261423,0.063253055,3.139,3.218,3.262499962,3.303,3.38312491,1.000101677,1000
beta1[7],2.093951,0.248351963,1.629974993,1.918,2.09049994,2.266249959,2.560074957,1.006827416,980
