"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"deviance",279699.8,6.32455532033676,279700,279700,279700,279700,279700,1,1
"sigma1",1.202932,0.0165546801066476,1.17,1.192,1.203,1.214,1.23602499014481,1.0024586344241,1000
"sigma2",1.385925,0.00693508979541508,1.37297499111919,1.381,1.386,1.391,1.4,1.000372448504,1000
"u[1]",-0.01909143381,0.0747137207959864,-0.1686325,-0.065825,-0.01785,0.03138,0.12233,1.00442841344565,440
"u[2]",0.007791068,0.0859886824850014,-0.1526575,-0.049755,0.01037,0.06367,0.17942,1.0011078656731,1000
"u[3]",0.0315999711,0.0793832061636855,-0.113275,-0.02229,0.03159,0.0828275,0.1997975,1.00687944440438,220
"u[4]",-0.00034794663,0.085012905606143,-0.1699275,-0.05534,0.00037415,0.05299,0.1696125,0.999997886449638,1000
"u[5]",-0.00590576918,0.0857527136136789,-0.1664025,-0.0575725,-0.014115,0.04953,0.168005,0.999998002955378,1000
"u[6]",0.000525134408,0.0816010685897478,-0.1630125,-0.050945,0.00096715,0.04869,0.1675325,1.00967106859423,170
"u[7]",0.0072614232,0.087056000359808,-0.16323,-0.05174,0.01252,0.0613475,0.1769,1.0142428956757,540
"u[8]",-0.0323620954,0.0836322391606012,-0.199905,-0.0826575,-0.026975,0.02284,0.12466,1.00655624063353,250
"u[9]",-0.0308719712,0.0868790756325383,-0.2135,-0.0864825,-0.02373,0.0253675,0.1364,1.00114539592521,1000
"u[10]",0.0540481883,0.0727708600503467,-0.08124,0.00217025,0.05446,0.101425,0.195705,1.00059590883114,1000
"u[11]",-0.0342758435,0.0789448655378955,-0.2136,-0.07977,-0.02949,0.0179025,0.1161025,1.00452679570176,330
"u[12]",-0.0260588121,0.0888939090923465,-0.21318,-0.0799,-0.01913,0.033965,0.1353125,1.00562602393884,1000
"u[13]",0.014302994428,0.0873330327521764,-0.1487375,-0.0423275,0.012165,0.0679125,0.1922025,1.00150010413959,1000
