"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"deviance",188714,34.7160655202344,188700,188700,188700,188700,188800,0.999997002992512,1000
"sigma1",1.235535,0.0168161100304606,1.204,1.224,1.236,1.247,1.27,1.00184332398469,810
"sigma2",1.805773,0.0173619384835884,1.772,1.793,1.806,1.818,1.839,1.00048896380594,1000
"sigma3",1.20765,0.0189548090147272,1.17097498958637,1.196,1.208,1.221,1.245,1.04424169304305,39
"u[1]",-0.0295566022,0.0996069598917896,-0.2275025,-0.0950725,-0.024915,0.03241,0.1635,1.00166040790311,1000
"u[2]",0.0162204527,0.149359233599674,-0.2742325,-0.080785,0.015285,0.1124,0.3111025,1.00558204976394,290
"u[3]",0.0825289477,0.12534099316911,-0.1527375,-0.0003965,0.07533,0.162425,0.34296,1.00057347266049,1000
"u[4]",0.0193534496,0.159222080183303,-0.289645,-0.0816775,0.02252,0.1197,0.338815,1.00050379919845,1000
"u[5]",-0.0172822941,0.16957046290562,-0.3742075,-0.120225,-0.01597,0.0906375,0.294245,1.00445896367456,1000
"u[6]",-0.0132427482,0.169209024725667,-0.3632,-0.1259,-0.012735,0.09972,0.3148225,1.00254145968301,1000
"u[7]",0.0526089719,0.168689185374617,-0.26094,-0.0688375,0.04441,0.1667,0.3932225,1.00096994718118,1000
"u[8]",-0.0759640674,0.13589477064816,-0.346,-0.167025,-0.071435,0.0141525,0.1843825,1.00242008783317,620
"u[9]",-0.08971117289,0.147098506082634,-0.384925,-0.1884,-0.092505,0.0106025,0.1817375,1.00015060756788,1000
"u[10]",0.1075574422,0.0957510387034881,-0.07678625,0.04298,0.1056,0.169175,0.308,1.00880132360729,180
"u[11]",-0.11559379404,0.137939352024927,-0.3819325,-0.202875,-0.10675,-0.0259025,0.165405,1.00767123446141,200
"u[12]",-0.0728130588,0.177663476921741,-0.43738,-0.189375,-0.064335,0.04909,0.279,1.01104554895484,1000
"u[13]",0.0394309492,0.158697926520014,-0.258215,-0.06318,0.04516,0.141925,0.35701,1.00062969388615,1000
"u[14]",0.06860259935,0.143426709088967,-0.191055,-0.03147,0.07044,0.1676,0.3500275,1.00593339048637,700
"u[15]",0.1370108409,0.151852988612399,-0.1563025,0.0356775,0.1337,0.2401,0.4270275,1.00193533161913,1000
"u[16]",0.00151108743,0.161893811635112,-0.32963,-0.099695,0.003971,0.106975,0.2992,1.00607213798059,380
"u[17]",-0.0794600199,0.130653454862282,-0.3384,-0.1638,-0.07496,0.00716625,0.1876175,1.00127350269192,1000
"u[18]",0.0860832892,0.167232414924016,-0.2336,-0.027215,0.078015,0.183,0.437325,1.0059426856653,1000
"u[19]",-0.06371169669,0.153176793845038,-0.3581225,-0.165875,-0.05271,0.04238,0.21104,1.00667807724312,230
"u[20]",-0.00686753015,0.111467776526739,-0.2185075,-0.079035,-0.01393,0.0665,0.221795,1.00199179507392,1000
"u[21]",-0.0988757186,0.15441732002689,-0.421005,-0.192125,-0.09834,0.006756,0.1985,0.999998585651174,1000
"u[22]",-0.029331333,0.158449064403521,-0.3765775,-0.127525,-0.028165,0.081115,0.285045,1.00307787753353,1000
"u[23]",0.1207955604,0.141497772560451,-0.1781475,0.0267975,0.11965,0.2109,0.39612,1.00001248023197,1000
"u[24]",0.0277463964,0.145544928373531,-0.2606125,-0.063795,0.01996,0.1225,0.3316525,1.00312347732288,1000
"u[25]",0.0266850167,0.154631477476061,-0.2734,-0.0764625,0.029865,0.1325,0.340625,1.0041402840965,480
"u[26]",0.0547836885,0.149175858481537,-0.24041,-0.0410625,0.05075,0.1564,0.3443725,1.00018557562095,1000
"u[27]",-0.1135414731,0.109243029276886,-0.33301,-0.19065,-0.10885,-0.03945,0.103115,1.00488451454949,1000
"u[28]",-0.1771095047,0.16169446173671,-0.5057975,-0.280075,-0.17015,-0.0728125,0.1260975,1.0013155858526,1000
"u[29]",-0.1388174706,0.167783948964775,-0.5125475,-0.2471,-0.1269,-0.021155,0.16844,1.00251737742421,600
"u[30]",-0.0613341078,0.150661704018955,-0.3663,-0.1588,-0.05694,0.0457725,0.22584,1.00285094303124,530
"u[31]",-0.1022266342,0.175713155484486,-0.49671,-0.2148,-0.097335,0.01566,0.22,1.00202767439546,740
"u[32]",-0.042210378,0.157837085823498,-0.37116,-0.1395,-0.041065,0.072675,0.2421,1.00603934175429,250
"u[33]",0.0659802741,0.153092574606228,-0.2322,-0.0415,0.06616,0.1702,0.3605425,1.00393774144189,480
"u[34]",0.212594809,0.0889063066170494,0.0480065,0.1551,0.2089,0.2693,0.39634,1.00286023788098,530
"u[35]",-0.045815008,0.178537232002939,-0.37896,-0.16925,-0.042725,0.0752375,0.32022,1.00878661442049,1000
"u[36]",0.00687260487,0.135644225308827,-0.2695,-0.0783025,0.004941,0.091805,0.2894,1.00224963446605,670
"u[37]",0.01588673044,0.154306088865408,-0.3,-0.086995,0.0169,0.1176,0.322945,1.00246881013434,910
"u[38]",0.0621346995,0.0712515589996458,-0.0702815,0.0128975,0.0588,0.1063,0.2151,1.00012264512197,1000
"u[39]",0.231736991,0.0983461267624613,0.04769025,0.16285,0.2301,0.301825,0.4325,1.00587948496082,540
"u[40]",0.07025779085,0.170910853954585,-0.2376025,-0.0339775,0.063265,0.1672,0.44939,1.00198167236224,760
"u[41]",0.14866666,0.0764172273217757,-0.001817,0.0923325,0.15245,0.19895,0.296715,1.00179935789182,830
"u[42]",-0.0663879178,0.128750433912198,-0.3265,-0.1572,-0.065035,0.02066,0.17834,1.00122792226868,1000
"u[43]",0.0330822047,0.140646199712686,-0.2315575,-0.0574,0.03683,0.1265,0.3091125,1.00001349054215,1000
"u[44]",-0.277925925,0.11847757158302,-0.5330225,-0.3491,-0.27205,-0.203475,-0.04531,1.0083157148947,230
"u[45]",-0.088522682433,0.167966873191662,-0.44863,-0.197675,-0.08523,0.02228,0.2403275,1.00536321792326,310
"u[46]",0.0572549595,0.118612158795993,-0.160245,-0.028345,0.054685,0.13705,0.2851725,1.00569371861609,260
"u[47]",-0.0476997688,0.158906010245027,-0.3585225,-0.148375,-0.03924,0.06611,0.2521225,1.00214403758395,1000
"u[48]",-0.0436730285,0.0996946639903854,-0.2276475,-0.1126,-0.04515,0.02597,0.1428075,1.01196899782345,130
"u[49]",-0.06416444099,0.141647168117542,-0.34152,-0.1608,-0.06153,0.0284425,0.21682,1.00002123513047,1000
"u[50]",0.0178727904,0.162591465090963,-0.3014575,-0.08016,0.007876,0.12235,0.3361975,1.00128808568237,1000
"u[51]",0.05979049495,0.160586157326189,-0.2661575,-0.05056,0.0536,0.158225,0.37664,1.00557921191981,350
"u[52]",0.12232554179,0.142160797510854,-0.15261,0.0245425,0.11575,0.22255,0.41842,1.00316334640426,1000
"u[53]",-0.21060006447062,0.125027501763566,-0.4475425,-0.292025,-0.207,-0.128425,0.02403025,1.00040133966127,1000
"u[54]",-0.03853833631,0.155747722497702,-0.3528,-0.14205,-0.036625,0.064465,0.259525,1.00116405411725,1000
"u[55]",-0.0901541659,0.154293630444321,-0.4260325,-0.190225,-0.08562,0.0169825,0.1982375,1.0104442661085,790
"u[56]",0.0053601558,0.124617508122984,-0.2357675,-0.082405,0.00214,0.0904,0.2484175,1.00331489192032,1000
"u[57]",0.06060518231,0.154037687554117,-0.252385,-0.03556,0.07028,0.1541,0.3718,1.00048561523927,1000
"u[58]",0.028260447,0.164447737710811,-0.286305,-0.08475,0.03404,0.128875,0.35141,1.01394556258126,130
"u[59]",0.2763142,0.0731637396868487,0.149429352877661,0.225374295649295,0.2742,0.320424926892973,0.424969776094378,1.03170053427878,64
"u[60]",0.175181122,0.134633563366465,-0.06741775,0.0701275,0.1742,0.2711,0.4477025,1.00020060120443,1000
"u[61]",-0.2491959524,0.135735179165431,-0.5392475,-0.3339,-0.24605,-0.151925,-0.00577167500000006,1.00815298353126,190
"u[62]",0.0872365285,0.141775076668709,-0.1725275,-0.01322,0.08433,0.1884,0.3638925,1.00734337860663,1000
"u[63]",-0.08975484,0.155113910988885,-0.4055,-0.1926,-0.08988,0.0123575,0.186185,1.00022976705082,1000
"u[64]",0.05410308847,0.150170672773756,-0.24325,-0.0420675,0.05374,0.1519,0.34115,1.00092675220372,1000
"sdu",0.17901606,0.0349430643106729,0.116897498956855,0.15427484791533,0.1769,0.200749832047682,0.256734907276666,1.01098745498235,140
"gam1[2]",0.0740547114,0.0725174436952299,-0.07333125,0.02874,0.07529,0.1204,0.2163125,1.06846605928675,29
"gam1[3]",-0.017792500647,0.0798974877351698,-0.17494,-0.068065,-0.01321,0.03537,0.1263725,1.11909690420091,18
"gam1[4]",0.0191595174,0.0778717379474962,-0.1515225,-0.029795,0.022245,0.07332,0.16822,1.10512197288052,21
"gam1[5]",0.133807992,0.0828865649849778,-0.040984,0.0829425,0.13625,0.1823,0.2969425,1.12218551767951,18
"gam1[6]",0.223566146,0.0943145112592901,0.03865,0.15805,0.22995,0.2793,0.40784,1.09039753283026,23
"gam1[7]",0.3713802,0.092801180849853,0.1849,0.3073,0.372549835592502,0.434474980584479,0.5524,1.14557042090777,17
"gam1[8]",0.35290757,0.0913923383654615,0.170709062197667,0.29174988423938,0.354799873167959,0.4153,0.523414991623631,1.22697994184346,13
