"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"deviance",279408.5,27.9021240863223,279400,279400,279400,279400,279500,1,1
"sigma1",1.236937,0.017054380167068,1.20297498986353,1.225,1.23749989898989,1.248,1.26902499040096,1.00047852094831,1000
"sigma2",1.388457,0.00677909338386094,1.376,1.384,1.388,1.393,1.402,1.00001365853021,1000
"u[1]",-0.03345347998,0.0924888605242307,-0.2242025,-0.09658,-0.033585,0.02677,0.14506,1.00002545508688,1000
"u[2]",0.038334191,0.146571438891529,-0.24412,-0.0589725,0.037895,0.13335,0.3381,1.00330751774112,450
"u[3]",0.07617474879,0.122499397374057,-0.1564,-0.01051,0.07426,0.15885,0.3172025,1.00069496952815,1000
"u[4]",0.0209243408,0.165325231837366,-0.27662,-0.0965625,0.007943,0.127,0.3627425,1.00393937555358,650
"u[5]",-0.0185548476,0.169724791255815,-0.36997,-0.13185,-0.01167,0.08458,0.3098,1.00264607201746,1000
"u[6]",0.0059234036,0.15735789529112,-0.320565,-0.0915075,0.01017,0.10505,0.307545,1.00890456680586,480
"u[7]",0.05006479557,0.162138859375171,-0.2602175,-0.0596775,0.052545,0.1545,0.38341,1.00488630694344,330
"u[8]",-0.0710457983,0.139065572670366,-0.34579,-0.161475,-0.06594,0.030515,0.1896875,1.00212909829703,700
"u[9]",-0.08596697632,0.156349587173214,-0.394,-0.18975,-0.087845,0.01735,0.2100175,1.01407815367302,110
"u[10]",0.099735801,0.0978047220229544,-0.09155075,0.0323575,0.09324,0.169125,0.2941775,1.00980234888495,1000
"u[11]",-0.1051405669,0.136688686278993,-0.3676175,-0.1985,-0.10825,-0.01633,0.167515,1.00321720807841,470
"u[12]",-0.0683088889843,0.179255798126841,-0.4617625,-0.17845,-0.05842,0.0563475,0.257225,1.00055124165202,1000
"u[13]",0.0381403312,0.155904492403793,-0.2584975,-0.06617,0.039585,0.1352,0.3438,1.00325265515929,460
"u[14]",0.062511918,0.137405153586686,-0.203,-0.03691,0.065875,0.162275,0.3286275,1.00179553573888,1000
"u[15]",0.1317292893,0.149962895118471,-0.16311,0.028695,0.1233,0.2257,0.4556525,1.0006004567932,1000
"u[16]",-0.0026237757,0.154700130798402,-0.3044325,-0.1007,-0.001763,0.094205,0.323625,1.01124282758903,410
"u[17]",-0.0772538193,0.13780408124222,-0.344815,-0.165725,-0.079185,0.0157675,0.1939,1.00135503047964,1000
"u[18]",0.07955152496,0.164980228968144,-0.24137,-0.0240925,0.07128,0.19,0.4248275,1.00201987542766,740
"u[19]",-0.0466698096,0.150174009272859,-0.3448975,-0.13915,-0.048,0.0572975,0.2431,1.00507443083179,1000
"u[20]",-0.0045262123,0.121338788939827,-0.232135,-0.084955,-0.010275,0.0759825,0.227025,1.00251212553108,1000
"u[21]",-0.09373146737,0.151501096199111,-0.382815,-0.1996,-0.0854,0.0045225,0.20148,1.0033414196102,450
"u[22]",-0.036674622601,0.162353234984279,-0.37954,-0.1396,-0.020095,0.06782,0.28861,1.01793135072251,88
"u[23]",0.11972930857,0.128216714162261,-0.1262,0.02835,0.1176,0.2004,0.380715,1.00016347664479,1000
"u[24]",0.0325966834,0.149846214501937,-0.2464,-0.07027,0.030655,0.1308,0.324815,1.0085703868352,380
"u[25]",0.0193987958,0.146929353297396,-0.25954,-0.07994,0.01342,0.1163,0.3036,1.00539996981479,420
"u[26]",0.0580362834,0.156916830600818,-0.236385,-0.05353,0.06093,0.157,0.3542625,1.00198594736477,1000
"u[27]",-0.1183566605,0.109631787772935,-0.33,-0.186625,-0.116,-0.0480375,0.0990735,1.0074395329648,250
"u[28]",-0.1894957687,0.140322487611319,-0.487535,-0.27465,-0.18275,-0.09241,0.0755167499999999,1.00171503557211,870
"u[29]",-0.1445776357,0.170379615908889,-0.5074675,-0.2534,-0.13615,-0.02028,0.1779,1.00546785655014,750
"u[30]",-0.0625370881,0.14868534945033,-0.3581075,-0.1563,-0.060275,0.0360875,0.230365,1.00055437731608,1000
"u[31]",-0.0956184469,0.168279525328144,-0.4326,-0.2021,-0.088555,0.01763,0.21273,1.00405979635755,370
"u[32]",-0.0517356121,0.149685754687293,-0.3496675,-0.151525,-0.04541,0.0448825,0.2399,1.00963926569946,260
"u[33]",0.0562885759,0.152116992143772,-0.248555,-0.04307,0.06004,0.153,0.36696,1.00007840295595,1000
"u[34]",0.20348988042,0.0841152546910778,0.03778675,0.15155,0.20285,0.25405,0.3722525,1.00000432524047,1000
"u[35]",-0.0632410551,0.172149036261506,-0.4359175,-0.16905,-0.05502,0.0529025,0.2757025,1.00000882039677,1000
"u[36]",-0.0034949328,0.134886033081881,-0.276305,-0.09088,-0.006489,0.08591,0.26874,1.00293967164923,1000
"u[37]",0.00226773797,0.156673544538615,-0.31436,-0.103575,0.0027625,0.103325,0.311285,1.00093525973611,1000
"u[38]",0.0538580118,0.0699263418348638,-0.08097675,0.00983675,0.05257,0.10365,0.1928,1.00112799348464,1000
"u[39]",0.231875922,0.0999002917417662,0.05357075,0.16495,0.2238,0.298775,0.4349,1.00024275686066,1000
"u[40]",0.0660912297,0.17578879378415,-0.2558,-0.0533,0.053255,0.174425,0.4476775,1.01125443915087,950
"u[41]",0.140597471,0.0729527452853958,-0.00560445,0.08964,0.1387,0.1921,0.2921225,0.999998017389543,1000
"u[42]",-0.0644950525,0.125773910716363,-0.3068225,-0.152525,-0.06705,0.02091,0.1848,1.00443932369632,1000
"u[43]",0.0368908889,0.158568735608723,-0.279845,-0.06394,0.02347,0.150625,0.36835,1.0030524857929,1000
"u[44]",-0.26698214714,0.118999720778332,-0.505315,-0.3429,-0.267,-0.1913,-0.042829,1.00038000820978,1000
"u[45]",-0.08063930036,0.151940374524923,-0.39268,-0.1749,-0.07471,0.0155,0.2130925,1.00072775247066,1000
"u[46]",0.0543011706,0.118032757297622,-0.18572,-0.023975,0.05445,0.128625,0.28394,1.00609858046004,770
"u[47]",-0.0486591142,0.157641529384145,-0.384835,-0.1411,-0.051065,0.0430475,0.2672925,1.00657072350282,230
"u[48]",-0.0393888477,0.106227549776843,-0.2477075,-0.113,-0.04284,0.0341425,0.1680525,1.00060371632879,1000
"u[49]",-0.0572652452,0.134960826362952,-0.326115,-0.147225,-0.054145,0.031615,0.2129,1.00203061164884,1000
"u[50]",0.0357731851,0.175658368337134,-0.2937125,-0.0888575,0.03325,0.154825,0.3659875,1.00025431212709,1000
"u[51]",0.04070116231,0.165648853247387,-0.3022575,-0.0654475,0.0476,0.14165,0.3554125,1.00086020405102,1000
"u[52]",0.1087146565,0.142895659244138,-0.1436575,0.005693,0.1115,0.2038,0.40951,1.00112418076821,1000
"u[53]",-0.2103428647,0.124451580679966,-0.4397275,-0.298075,-0.2116,-0.116575,0.0244772499999999,1.00041286714717,1000
"u[54]",-0.0287447504,0.163391153148054,-0.37507,-0.13,-0.02109,0.0763,0.28931,1.00409591367337,1000
"u[55]",-0.0997543372,0.159567839325598,-0.4323425,-0.197225,-0.091245,0.004061,0.2060375,1.01614955473881,94
"u[56]",0.0033759185,0.119287649378931,-0.230405,-0.078955,0.0008957,0.0822,0.23262,1.00120958760386,1000
"u[57]",0.0556913396,0.158300266408085,-0.250385,-0.0495525,0.05105,0.1507,0.3987,1.00476210007201,320
"u[58]",0.0391201262,0.165743325259878,-0.2872,-0.06208,0.04189,0.1447,0.3746325,1.00274942494985,1000
"u[59]",0.27496202,0.0764269600176347,0.1341,0.2219,0.268949995352296,0.32454943464374,0.42751249287829,1.00049224464468,1000
"u[60]",0.1810774129,0.134036796912418,-0.08345875,0.09725,0.1775,0.268175,0.4563325,1.00016992383784,1000
"u[61]",-0.2561227375,0.144070903423536,-0.533315,-0.354625,-0.2628,-0.1465,0.02481725,1.00313894726581,480
"u[62]",0.0724678617,0.140279676028607,-0.19919,-0.0247525,0.06908,0.164225,0.344645,1.00671169413894,490
"u[63]",-0.0816011081,0.154063758048695,-0.3700325,-0.176625,-0.092885,0.025995,0.2143275,1.00176798051117,850
"u[64]",0.05922101789,0.161142534279839,-0.2466125,-0.04627,0.05279,0.15995,0.38512,1.00265163779994,660
"sdu",0.17799954,0.0343285326360062,0.114579931622744,0.1541,0.1758,0.200149981270289,0.247604998032145,1.00637342664342,1000
"gam1[2]",0.0788413479,0.0744074853181738,-0.07066875,0.03175,0.081085,0.126675,0.23164,1.01497258989628,1000
"gam1[3]",-0.0095491492,0.0791177462856113,-0.170605,-0.0594875,-0.003664,0.04301,0.13345,1.00975431408729,1000
"gam1[4]",0.0306101546,0.0853342909011367,-0.1357475,-0.02601,0.031655,0.08855,0.19045,1.00689248023854,510
"gam1[5]",0.141371436,0.0864316601337113,-0.02142675,0.08353,0.1419,0.2026,0.3015325,1.00190495665768,1000
"gam1[6]",0.230969873,0.0937801717419456,0.04898825,0.171775,0.2338,0.2978,0.41097,1.00159128518028,1000
"gam1[7]",0.37173395,0.0934652789749828,0.1764,0.315149702207452,0.373649969891609,0.4349,0.544682257262578,1.00519862488293,1000
"gam1[8]",0.35908369,0.0892071714231385,0.17437492985262,0.304274996918568,0.362,0.416949991007554,0.519039940006121,1.00393716355104,1000
"gam1[9]",0.3111436528,0.0902861466253896,0.1272,0.254024966771682,0.3081,0.3724,0.491187197413788,1.0886134246617,120
"gam1[10]",0.35583399,0.0927215099099442,0.1728,0.292549987178756,0.358949968658586,0.420974979962001,0.53651499182801,1.03968902006889,78
"gam1[11]",0.46163422,0.0933624039743379,0.272056024918699,0.400024885096383,0.4641,0.5246,0.64223496285694,1.03306635281162,79
"gam1[12]",0.607197,0.10885249320193,0.391728545364482,0.538799749256982,0.6103,0.682274987635098,0.808229978306281,1.01438746605361,140
"gam1[13]",0.6976474,0.12753246685979,0.441969960223006,0.609274961521622,0.700349912543723,0.7859,0.9349,1.00096361122079,1000
"gam1[14]",0.6050975,0.144872608648034,0.324847333866785,0.515524779800648,0.604849749937949,0.7012,0.87622465352406,1.00842174124492,220
"gam2[2]",-0.0503950357,0.0454579848474539,-0.150535,-0.077775,-0.04942,-0.020995,0.03538975,1.00556059529031,1000
"gam2[3]",-0.0693431444,0.0517432259791349,-0.178945,-0.1021,-0.06731,-0.0325075,0.0225125,1.00389176062604,1000
"gam2[4]",-0.002698008,0.0492845632161248,-0.1115075,-0.033585,0.001842,0.03344,0.0842302499999999,1.01303289690753,1000
"gam2[5]",0.114302001,0.0480012607209832,0.01942075,0.0858375,0.1162,0.145,0.207,1.02028594224421,150
"gam2[6]",0.176880874,0.0570808666662613,0.0580187494745597,0.1435,0.178,0.213324995605984,0.280202499565145,1.00613617539604,340
"gam2[7]",0.24441409,0.0480348944482712,0.146267358385744,0.214174995622057,0.246249954314717,0.2755,0.334802499636048,1.00188306211058,800
"gam2[8]",0.21719879,0.0510310331620033,0.109379928356895,0.182174871228365,0.2201,0.252,0.309624960718196,1.02422523356711,1000
"gam2[9]",0.20763281,0.0523315904513045,0.0979186595762091,0.1748,0.20949997613365,0.243349984594316,0.305802499601541,1.00388827776997,490
"gam2[10]",0.24065296,0.0513502330322937,0.132134368607655,0.207599710610671,0.2444,0.27632491523251,0.32846475042449,1.0170691920401,1000
"gam2[11]",0.299217,0.0514531289182249,0.196489990063017,0.2684,0.29969998331665,0.3345,0.397864793778997,1.00877774856159,850
"gam2[12]",0.3236597,0.0503727155947184,0.221092495034574,0.290999948429973,0.3263,0.3588,0.412202499704378,1.01145903438292,250
"gam2[13]",0.3716759,0.0501544238868858,0.266289992670182,0.3392,0.3753,0.4068,0.45590249973271,1.017940008606,1000
"gam2[14]",0.4379061,0.0591853784461315,0.306017063307849,0.4031,0.43969998862861,0.477949992155085,0.546842435716988,1.03145517181616,270
"sdgam1",0.1388421,0.0462192733891677,0.069444491488725,0.1065,0.129849913361542,0.163374948386593,0.249211520872568,1.00533909603985,280
"sdgam2",0.08044805,0.0224543000400321,0.0482846553202515,0.0645474754376272,0.0775049985484808,0.0927674990905661,0.130257010508364,1.00227357820665,1000
"beta1[1]",3.771006,0.114438420629245,3.53897499655559,3.698,3.77649996690057,3.85,3.981,1.00194953838921,770
"BrCa",54949.9242042042,70.6542042042042,54879.27
"LBCa",225743.383183183,1203.18318318318,224540.2
"Total",280693.307387387,1273.83738738739,279419.47
